,title,contents
0,"조국 테마주, 사퇴정보 미리 듣고 팔았다면 위법일까",조 전 장관의 정치 테마주로 거론돼왔던 화천기계(010660)주가는 오후 1시 4600원대에서 1시50분 4300원대로... 조 전 장관의 다른 테마주로 엮이는 삼보산업(009620)도 비슷한 주가 흐름을 보였다. 사퇴 공식 발표를 10분가량...
1,조국 사퇴에 테마주 급락,조국 법무부 장관이 14일 사퇴 의사를 밝히자 조 장관 관련 테마주로 거론됐던 종목이 장중 급락하고 있다.... 관련 테마주로 꼽혀왔다. 또 다른 테마주 삼보산업은 같은 시간 9.05%(100원) 하락한 1005원에 움직이고 있다....
2,[이주의 상한가] 정부 발표에 '미래차 테마주' 투자심리↑,이주에는 미래차 관련 테마주의 상승세가 두드러졌다. 정부가 2030 미래차 산업 발전 전략을 발표한... 베셀과 테라셈은 미래차 테마주로 묶여 상승세를 탄 것으로 풀이된다. 정부는 지난 15일 플라잉카 서비스...
3,"엔터테인먼트3사 주가 모두 내려, '방탄소년단 테마주'는 혼조",'방탄소년단 테마주'로 묶이는 회사들 주가는 엇갈렸다. 지엠피 주가는 0.53%(50원) 오른 9450원에 장을 마쳤다. 지엠피 자회사 브이티코스메틱은 방탄소년단과 협업한 화장품 'VTXBTS'를 세계시장에 판매한다....
4,[증시전망] 주류 테마 장마감 브리핑,"하이트진로홀딩스가 금일 주류 테마주의 최고 인기주로 자리잡았다.하이트진로홀딩스는 금일 11,350원... 또한 236,319주의 거래량으로 활발한 거래를 보여주며 주류 테마주의 인기 종목으로 부상했다.하이트진로..."
5,"[전선 테마주-마감] LS,가온전선 등이 상승세 견인중","10월 18일 금요일 전선 테마주 종가를 알아본다. 이 날 전선주를 견인한 것은 LS 종목이다. LS은 주당 48,350원의 거래가격으로 전일대비+0.62%의 등락률을 기록 전선테마주를 주도한 것으로 알려졌다...."
6,[국내증시전망] 10월 18일 타이어업종 종목 순위,넥센이 타이어 테마주에서 가장 활발한 거래 추세를 보이고 있다. 넥센은 전일 대비 20원 상승(+0.34%)한 5... 타이어 테마주의 또 다른 종목 금호타이어와 디티알오토모티브 역시 등락장을 이어가고 있다....
7,[증시전망] 10월 18일 제지업종 종목 현황,아세아제지가 제지 테마주에서 가장 활발한 거래 추세를 보이고 있다. 아세아제지는 전일 대비 700원... 제지 테마주의 또 다른 종목 신풍제지와 무림페이퍼 역시 등락장을 이어가고 있다. 신풍제지는 +0.76% 등락해...
8,[특징주] 조국 장관 사의에 조국·윤석열 테마주 희비 갈려,관련 테마주로 거론되던 종목들이 14일 장중 급락했다. 반면 윤석열 검찰총장 관련주로 꼽히는 종목은 급등했다. 이날 오후 2시 44분 현재 주식시장에서 '조국 테마주'인 화천기계는 전 거래일보다 26.46% 떨어진...
9,"‘조국 테마주’ 화천기계, 사퇴 발표 오후 2시경 ‘급락’…尹테마주는 ‘상...",조국 법무부 장관(54)이 사퇴를 발표한 순간 조 장관의 테마주로 지목된 화천기계의 주가가 급락했다. 14일... 장관의 테마주로 분류돼왔다. 다만 화천기계는 올 6월 공시를 통해 “감사인과 조국 청와대 민정수석...
10,[국내주간증시] 10월 18일 금 관련주업종 주가 현황,정산애강이 금 관련주 테마주에서 가장 활발한 거래 추세를 보이고 있다. 정산애강은 전일 대비 35원... 금 관련주 테마주의 또 다른 종목 KODEX 은선물(H)과 KODEX 골드선물(H) 역시 등락장을 이어가고 있다....
