,title,contents
0,"차세대 배터리 소재 그래핀, 중국 '그래핀 테마주' 증시서 각광",그래핀 배터리[ 사진=바이두] 현재 중국 증시에서 '그래핀 테마주'로 분류된 상장사는 약 50여 개사에... 이중 그래핀 테마주로 분류된 전자부품 업체 창신커지(信科技·300088)의 주가는 12월 들어 약 30% 가량 상승했다....
1,"엔터테인먼트3사 주가 모두 올라, '방탄소년단 테마주'는 엇갈려",'방탄소년단 테마주'로 묶이는 회사들 주가가 엇갈렸다. 26일 드림어스컴퍼니 주가는 직전 거래일보다 5.36%(300원) 뛴 5900원에 거래를 마쳤다. 장이 열린 직후 약세를 보인 뒤 꾸준히 오름세를 보였다....
2,"[LED 테마주-마감] 우리이앤엘,루미마이크로 등이 주도","12월 26일 목요일 LED 테마주 종가를 알아본다. 이 날 LED주를 견인한 것은 우리이앤엘 종목이다. 우리이앤엘은 주당 1,020원의 거래가격으로 전일대비+16.44%의 등락률을 기록 LED테마주를 주도한 것으로..."
3,"수산중공업 주가 장중 올라 52주 신고가, ‘정세균 테마주’로 부각",정석현 수산중공업 회장이 국무총리 후보로 지명된 정 의원과 종친인 것이 알려지면서 수산중공업은 '정세균 테마주'로 분류됐다. 수산중공업은 1984년 설립된 건설중장비 및 특수차량 생산업체로 1991년...
4,"내년 총선 앞두고 정치테마주 기승…""투자 주의""","[이낙연 오세훈 박원순 테마주…성장성·호재 없이 급등, 거래소 모니터링 강화 ] 내년 4월 총선을 앞두고 주식시장에서 정치 테마주가 들썩인다. 이낙연 전 국무총리, 박원순 서울시장, 오세훈 전 서울시장 등 정치인과..."
5,M&A·돼지열병… 증시 흔든 이슈들,"실적 개선 기대감이 높은 종목과 한진그룹 경영권 분쟁 관련주, 정치테마주 등도 크게 올랐다. ■M&amp;A와 테마주, 주가 급등 단골 소재 25일 한국거래소에 따르면 M&amp;A가 진행 중인 스테인리스업체 대양금속은 올해 들어..."
6,[단독] '최경환 테마주'가 '이낙연 테마주'로…남선알미늄 급등,국내 알루미늄 전문기업 남선알미늄이 이낙연(사진 왼쪽) 국무총리 정치 테마주로 꼽히며 급등세를 보이고... 최경환 테마주가 이낙연 테마주로 바뀐 셈이다. 18일 주식시장에서 남선알미늄은 16~17% 급등세를 보이면서...
7,"[키오스크(KIOSK) 테마주-마감] 씨아이테크,한국전자금융 등이 주도",(KIOSK) 테마주 종가를 알아본다. 이 날 키오스크(KIOSK)주를 견인한 것은 씨아이테크 종목이다. 씨아이테크는 주당 456원의 거래가격으로 전일대비+4.83%의 등락률을 기록 키오스크(KIOSK)테마주를 주도한 것으로...
8,"[반도체 재료/부품 테마주-마감] 덕산테코피아,피에스엠씨 등이 주도","재료/부품 테마주 종가를 알아본다. 이 날 반도체 재료/부품주를 견인한 것은 덕산테코피아 종목이다. 덕산테코피아는 주당 19,000원의 거래가격으로 전일대비+15.50%의 등락률을 기록 반도체 재료/부품테마주를..."
9,"[반도체 장비 테마주-마감] 티에스이,테크윙 등이 주도...","12월 26일 목요일 반도체 장비 테마주 종가를 알아본다. 이 날 반도체 장비주를 견인한 것은 티에스이 종목이다. 티에스이는 주당 14,000원의 거래가격으로 전일대비+12.00%의 등락률을 기록 반도체 장비테마주를..."
10,"[3D 낸드(NAND) 테마주 시황-마감] 테크윙,원익IPS 등이 상승세 주도","12월 26일 목요일 3D 낸드(NAND) 테마주 종가를 알아본다. 이 날 3D 낸드(NAND)주를 견인한 것은 테크윙 종목이다. 테크윙은 주당 13,800원의 거래가격으로 전일대비+7.81%의 등락률을 기록 3D 낸드(NAND)테마주를..."
11,"[폴더블폰 테마주-마감] 켐트로닉스,KH바텍 등이 주도","12월 26일 목요일 폴더블폰 테마주 종가를 알아본다. 이 날 폴더블폰주를 견인한 것은 켐트로닉스 종목이다. 켐트로닉스는 주당 17,350원의 거래가격으로 전일대비+9.46%의 등락률을 기록 폴더블폰테마주를 주도한..."
12,"[26일 13시 PCB(FPCB 등) 테마주 시황-오후] 코리아써키트,디에이피 등이 주도","테마주, 관련 현황을 알아본다. 13시 25분 현재 PCB(FPCB 등)주를 견인하고 있는 것은 코리아써키트 종목이다. 코리아써키트는 주당 11,200원의 거래가격으로 전일대비+8.21%의 등락률을 기록 PCB(FPCB 등)테마주를..."
13,"[갤럭시 부품주 테마주 시황-마감] 아모그린텍,켐트로닉스 등이 주도","부품주 테마주 종가를 알아본다. 이 날 갤럭시 부품주주를 견인한 것은 아모그린텍 종목이다. 아모그린텍은 주당 12,000원의 거래가격으로 전일대비+9.59%의 등락률을 기록 갤럭시 부품주테마주를 주도한 것으로..."
