,title,contents
0,공매도 세력들 다음 타깃은 '애국테마주',"이 가운데, 일명 ‘애국 테마주’로 거론되는 종목들이 공매도 세력의 핵심 타깃이 되고 있습니다. 자세한... &lt;기자&gt; 최근 코스닥 지수 급격하게 떨어진 데도 불구하고 ‘한일 갈등 수혜주’, 일명 ‘애국 테마주’로..."
1,증시에 짐 로저스 테마주 들썩,"증시에 ‘짐 로저스 테마주’가 떴다. 짐 로저스 로저스홀딩스 회장(77)을 이사로 영입한 상장사들과... 솔루에타(1.08%), 크리스탈신소재(6.05%), 국일제지(0.37%) 등 ‘그래핀 테마주’로 묶이는 종목들이 대거 상승세를..."
2,"[LBS관련주 테마주-마감] 한양디지텍,이루온 등이 상승세 주도","8월 14일 수요일 LBS관련주 테마주 종가를 알아본다. 이 날 LBS관련주주를 견인한 것은 한양디지텍 종목이다. 한양디지텍은 주당 4,335원의 거래가격으로 전일대비+0.93%의 등락률을 기록 LBS관련주테마주를 주도한..."
3,"'방탄소년단 테마주'는 강세, 엔터테인먼트3사는 JYP만 올라",'방탄소년단 테마주'로 묶이는 회사들 주가는 대체로 올랐다. 넷마블 주가는 7.21%(6100원) 뛴 9만700원에 거래를 끝냈다. 넷마블은 빅히트엔터테인먼트의 2대주주로 방탄소년단 지식재산권을 활용한...
4,"애국테마주, 매출 추이 보니…의류·주류 매출 高高","주식 시장에서도 이로 인한 반사 이익이 기대되는 종목들, 애국 테마주가 이슈가 되고 있는데요 이 종목들의 실제 반사 이익 정도는 어느 정도일까요. 애국 테마주의 대표 주자라 할 수 있는 신성통상의 브랜드..."
5,화장품 등 애국테마주 물색 나선 투자자들,"［메디컬투데이 박정은 기자］ 최근 일본 불매운동으로 인해 투자자들이 화장품과업체들 중 애국테마주 물색에나섰다. 13일 업계에 따르면 여성 소비품목인 화장품, 유아용품 등에서 일본물품을 지양하고자하는..."
6,"엔터테인먼트3사 주가 모두 떨어져, '방탄소년단 테마주'도 약세",'방탄소년단 테마주'로 묶이는 회사들 주가도 대체로 내렸다. 넷마블 주가는 6.21%(5600원) 떨어진 8만4600원에 거래를 끝냈다. 넷마블은 빅히트엔터테인먼트의 2대주주로 방탄소년단 지식재산권을 활용한...
7,"[국내증시전망] 전선 테마주 '가온전선' 14시 현재 17,200원 기록중","14일 14시 전선 테마주 시황 브리핑 현재 전선 테마주 '가온전선'은 현재가 17,200원을 기록중에 있다. 이는 전일대비 350원 만큼 상승한 상태이며, +2.08% 상승한 금액에 거래중이다. 가온전선에 더불어 상승한..."
8,친일주 vs 애국주…천당-지옥 오간 주가,"이른바 ‘애국테마주’의 주가가 오를 대로 오른 반면, 불매운동 타깃이 된 주식은 밸류에이션이 역사적... 애국테마주의 주가가 크게 올랐다. 화장품 브랜드 코리아나는 전날 하루에만 17.08% 급등했으며, 애경산업(8...."
9,"[13시 24분 타이어 테마주 오후 시황] 디티알오토모티브,넥센 등이 주도","타이어 테마주, 관련 현황을 알아본다. 13시 24분 현재 타이어주를 견인하고 있는 것은 디티알오토모티브 종목이다. 디티알오토모티브는 주당 31,000원의 거래가격으로 전일대비+2.65%의 등락률을 기록 타이어테마주..."
