,title,contents
0,"거래소, 코로나19·정치 테마주 감시 대폭 강화","코로나19 첫 확진자 발생후 주가급등 40여개 종목 집중관리 한국거래소가 신종 코로나바이러스 감염증(코로나19) 관련 테마주, 정치 테마주 등에 대한 시장 감시를 대폭 강화한다. 거래소 시장감시위원회는 이 같은 내용을..."
1,"거래소, 코로나·정치 테마주 사전 차단한다",코로나19나 총선과 관련된 테마주에 대한 감시와 단속이 대폭 강화됩니다. 한국거래소는 올해 시장감시의 우선 과제를 신종 불공정거래 조기 탐지 및 신속 적발로 정하고 각종 테마주 등으로 인한 시장 혼란을 사전에...
2,[특징주] 신천지 강제 역학조사...‘이재명테마주’ 강세,이재명 경기도지사가 신천지 과천총회본부 강제 역학조사에 들어간 한편 이 지사의 테마주가 26일 강세를... 이후 시장에서 줄곧 ‘이재명 테마주’로 묶여왔다. 전일 경기도는 오전 10시30분께 역학조사관 2명과...
3,코로나 테마주 '롤러코스터' 주의보,신종 코로나바이러스감염증(코로나19) 확산에 따른 각종 테마주의 주가가 출렁이고 있다. 전염에 대한... 코로나19 감염 여파로 줄줄이 학교들이 개학 연기에 들어서자 실내 교육 수요가 늘어났다는 판단에 테마주...
4,"'방탄소년단 테마주' 대체로 약세, 엔터테인먼트3사는 엇갈려",'방탄소년단 테마주'로 묶이는 회사들 주가가 대체로 떨어졌다. 방탄소년단이 활동을 재개하고 빅히트엔터테인먼트가 상장을 준비하는 것으로 알려지면서 큰 폭으로 오르내기리를 거듭하고 있다. 26일 손오공...
5,테마주 빼니 인버스·레버리지 ETF 거래량 싹쓸이,테마주를 제외하면 지수를 추종하는 상장지수펀드(ETF)에 거래가 집중됐다. 대형주 소형주 할 것 없이... 증시가 출렁이자 테마주와 지수 추종 ETF에만 거래량이 집중됐다. 전일 코스피 거래량 상위 10개 종목...
6,테마주란 무엇인가? 머니퀸 이난희에게 묻다,Q 머니퀸 이난희 전문가님 하면 아무래도 테마주로 유명하신데 최근에 매매하신 테마가 있다면 무슨 테마를... 이런 테마주들은 타이밍을 잘 잡아야 한다. 테마는 우리 일상에서 일어나는 현상이 그대로 주식시장에...
7,"[특징주]‘헛다리 테마주’ 오공, 마스크 생산 무관 소식에 급락",마스크 테마주로 엮이면서 주가 급등 수혜를 누렸지만 실제 마스크 생산 이력과 전무한 것으로... 하락 배경에는 코로나19 확산 여파로 마스크 테마주로 부각됐지만 실제 마스크 생산은 진행한 적이 없는 것으로...
8,"코로나19 테마주, 개미들만 샀다","커지면서 테마주 장세도 길어지고 있다. 특히 수혜주로 묶여 단기 급등한 종목 매수세 대부분을... 타 간편식 업체뿐 아니라, 다른 이유로 테마주에 묶여 주가가 오른 종목 역시 비슷한 양상이다. 손 소독제 수요..."
9,"방탄소년단 테마주 장중 혼조, 디피씨 오르고 키이스트 급락",방탄소년단(BTS)의 새 앨범이 세계적 인기를 얻고 있는 가운데 관련주 주가는 서로 엇갈린 흐름을 보이고 있다. 25일 오전 11시55분 기준 디피씨 주가는 전날보다 4.40%(400원) 오른 9500원에 거래되고 있다. 디피씨...
10,"'방탄소년단 테마주' 손오공 주가 급등, 엔터테인먼트3사도 모두 올라",'방탄소년단 테마주'로 묶이는 회사들 주가가 급등락으로 엇갈렸다. 방탄소년단이 활동을 재개하고 빅히트엔터테인먼트가 기업공개를 준비하면서 손오공은 상한가까지 오른 반면 키이스트는 조정을 거쳤다....
11,[종목이슈] 코로나19 확산 한 달…주식시장 수혜·피해株 온도차,"실체도 없는 테마주는 급등락을 반복하고 있으며, 관광산업 관련 업종은 고난의 행군을 걷고 있다. 반면... ◆ 거래소 ""코로나19 테마주 집중 모니터링"" 2015년 발병했던 전염병 메르스 사태에 들썩였던 테마주가 이번..."
12,코로나테마주 교체?...간편식품 '급등' 마스크 '급락',이날 코스피가 4% 가까이 하락하는 급락장세 속에서 나타난 간편식품주의 강세는 코로나19 확산에 따른 수혜가 기대되는 테마주 투자 현상이라는 평가가 나온다. 반면 코로나19 사태 초기인 설 연휴 전후 급등했던...
13,"방탄소년단 테마주 초반 혼조, 키이스트 오르고 디피씨 내려",방탄소년단(BTS)의 새 앨범이 세계적 인기를 얻으면서 관련주로 투자자들의 관심이 몰리고 있다. 주가는 서로 엇갈린 흐름을 보이고 있다. 24일 오전 10시32분 기준 키이스트 주가는 직전 거래일보다 4.35%(155원) 오른...
14,테마주란 무엇인가? 머니퀸 이난희에게 묻다,Q 머니퀸 이난희 전문가님 하면 아무래도 테마주로 유명하신데 최근에 매매하신 테마가 있다면 무슨 테마를... 이런 테마주들은 타이밍을 잘 잡아야 한다. 테마는 우리 일상에서 일어나는 현상이 그대로 주식시장에...
15,"'방탄소년단 테마주' 급등락 엇갈려, 엔터테인먼트3사는 모두 하락",'방탄소년단 테마주'로 묶이는 회사들 주가가 엇갈렸다. 방탄소년단이 활동을 재개하면서 주가가 급등한 회사도 있고 조정을 거치는 회사도 있었다. 24일 초록뱀미디어 주가는 직전 거래일보다 9.66%(170원) 뛴...
16,개미들 울리는 코로나 테마株 투자주의보,‘코로나 테마주’라고 불리는 종목들의 주가가 급등락을 거듭하고 있다. 코로나19 확진자가 1000명을 넘어서면서 감염 공포로 인해 코로나테마주가 기승을 부리고 있어 투자자들의 주의가 필요하다.26일 한국거래소에...
17,코로나19 한달…국내증시 화장품·여행株 등 시총 12조 줄어,또 마스크주·백신주 등 '코로나19 테마주'가 기승을 부리고 사태가 장기화함에 따라 투자 대안을... ◇ 각종 테마주도 기승…생활 방식 변화 주목해야 이런 와중에 코로나19 확산세로 주가가 급등한 종목도 있었다....
18,"[특징주]‘헛다리 테마주’ 오공, 마스크 생산 무관 소식에 급락",마스크 테마주로 엮이면서 주가 급등 수혜를 누렸지만 실제 마스크 생산 이력과 전무한 것으로... 하락 배경에는 코로나19 확산 여파로 마스크 테마주로 부각됐지만 실제 마스크 생산은 진행한 적이 없는 것으로...
19,"코로나19 테마주, 개미들만 샀다","커지면서 테마주 장세도 길어지고 있다. 특히 수혜주로 묶여 단기 급등한 종목 매수세 대부분을... 타 간편식 업체뿐 아니라, 다른 이유로 테마주에 묶여 주가가 오른 종목 역시 비슷한 양상이다. 손 소독제 수요..."
20,"신종코로나 테마주·악성루머 기승…금융당국 ""엄중 단속""",부리는 테마주와 악성 루머에 대한 대응을 강화한다고 11일 밝혔다. 최근 신종코로나 확산에 따른 불안을... 금융당국이 집계한 신종코로나 테마주 종목의 지난달 20일부터 이달 5일까지 평균 주가 등락률은 57.22%로...
21,코로나19·기생충 테마주까지…주가급등락에 시장경보 27%↑,"앞두고 테마주가 기승을 부렸기 때문이다. 16일 한국거래소에 따르면 올해 1월 2일부터 이달 14일까지... 시장경보 조치가 내려진 종목에는 진원생명과학과 깨끗한나라, 국제약품, 백광산업, 오공 등 코로나19 테마주가..."
22,[이주의 상한가] 코로나19 확진자 급증에 테마주 광풍,국내에서 코로나19 확진자가 급증하면서 관련 테마주가 줄줄이 상한가를 쳤다. 또 기존 테마주 외에 온라인 교육 관련 테마주도 주가 급등 양상을 보였다. 이날 장 마감 기준 비상교육이 2210원(29.99%) 오른 9580원에...
23,"엔터테인먼트3사 주가 다 떨어져, '방탄소년단 테마주'도 대체로 급락",'방탄소년단 테마주'로 묶이는 기업들의 주가도 모두 하락했다. 손오공은 9.03%(195원) 내린 1965원에 장을 종료했다. 손오공은 방탄소년단 인형을 판매한다. 키이스트는 7.40%(285원) 하락한 3566원에 장을 마쳤다....
24,"신종코로나 테마주·루머 기승…당국 ""엄정 제재""","금융위원회와 금융감독원, 한국거래소는 신종 코로나바이러스 사태를 틈타 주식시장에서 기승을 부리는 테마주와 악성 루머의 적발과 제재에 나섰습니다. 테마주의 반복적, 대규모 매수행위나 허수 주문하는 행위..."
25,"금융당국, 신종 코로나 관련 테마주 30여 종목 집중 감시",테마주 30여 종목의 평균 주가등락률이 1월20일부터 2주간 57.2%(최저값 대비 최고값 평균)에 이르는 등 변동폭이 매우 큰 상황이라며 거품이 소멸할 경우 투자자의 피해가 우려된다고 경고했다. 금융당국은 관련 테마주로...
26,"신종 코로나 사태 한달, 국내 화장품·여행주 증시 시총 12조 줄어",동일 기간 마스크 주·백신 주와 같은 이른바 '코로나19 테마주' 주가는 급등하는 등 기승을 부렸다. 23일... 한편 코로나19 확산에 따라 이른바 '코로나19 테마주'의 주가는 급등하는 양상을 보였다. 코로나19의 국내 첫...
27,화장품·여행株 '휘청'…코로나사태 한달 시총 12兆 줄었다,"또 마스크주·백신주 등 '코로나19 테마주'도 기승을 부리고 있다. 23일 금융정보업체 에프앤가이드에... 진단·백신주, 마스크주, 세정·방역주 등 이른바 '코로나19 테마주'이다. 한 달 새 마스크 생산업체인..."
28,"기생충 테마주, 코스닥 상한가 싹쓸이…급등 우려도","이들 종목의 공통점은 영화 기생충 테마주라는 점이다. 바른손이앤에이는 기생충 제작사이고 바른손은 이... 기생충 테마주는 코스닥 거래량 상위 종목도 휩쓸었다. 지엔코와 큐캐피탈이 각각 거래량 상위 1, 2위를..."
29,"'방탄소년단 테마주' 등락 크게 엇갈려, 엔터테인먼트3사는 다 내려",'방탄소년단 테마주'로 묶이는 회사들 주가가 엇갈렸다. 빅히트엔터테인먼트가 상장을 준비하고 방탄소년단이 활동 재개를 앞두면서 불안정한 흐름을 보여주고 있다. 20일 드림어스컴퍼니 주가는 전날보다 12.43...
