,title,contents
0,"[특징주]""고마워요, 법무부 장관님""...'윤석열 테마주' 초강세","‘윤석열 테마주’로 알려진 서연(007860)이 강세다. 이날 오후 1시 34분 기준 서연은 6.4% 오른 6,150원을... 사외이사가 윤석열 검찰총장과 대학교 동문이라는 이유로 윤석열 테마주로 알려져 있다. 서연은 지난 2월..."
1,"‘방탄소년단 테마주’ 모두 하락, 엔터테인먼트3사는 YG만 올라",'방탄소년단 테마주'로 묶이는 회사 주가가 모두 내렸다. 25일 키이스트 주가는 전날보다 4.1%(500원) 떨어진 1만1700원에 거래를 마쳤다. 키이스트는 일본 자회사 SMC가 방탄소년단 일본 팬클럽을 운영하고...
2,주가 뜬 테마주 매도한 내부자들...하락 몫은 개인투자자,테마주로 엮이면서 주가가 급등한 상장사의 최대주주나 특수관계인들이 지분을 팔아치우는 사례들이... 코로나19 재확산 우려가 확산되면서 주목받고 있는 코로나19 테마주에서도 최대주주의 특수관계인들이 주가...
3,'수소트럭' 美니콜라 주가 급등···국내 수소테마주도 '고공행진',두산퓨얼셀이나 에스퓨얼셀 등 연료전지 업체는 물론 니콜라에 투자한 한화그룹까지 '수소 테마주'에 포함됐다. 국내외적으로 수소산업 육성 정책이 추진되면서 수소 테마주가 성장주로서 자리를 잡아가고...
4,테마주 취급받는 우선주…'폭탄 돌리기' 현재진행형,일부 우선주가 급등 이후 급락을 반복하는 롤러코스터를 타는 가운데 시장에서는 '우선주가 테마주다... 시장에서는 작전세력이 개입했을 가능성이 높다는 분석과 함께 테마주로 전락했다는 말까지 돌고 있다....
5,"'코로나19 테마주' 한국유나이티드제약, 종식 위한 사회적노력 '역행' 논란","한편, 한국유나이티드제약은 이른바 '코로나19 테마주' 중 하나로 꼽힌다. 코로나19 관련 백신 및 치료제를 연구·개발 중인 제약사 중 하나로 알려지며 최근 주가가 상승세를 이어가고 있다. 코로나19로 수혜를 입고 있는..."
6,가전·맥주·빙과…여름 테마주 웃을까,올 여름철 역대급 무더위가 찾아올 것으로 예상되면서 관련주들이 주목받고 있다. 24일 한국거래소에 따르면 롯데하이마트의 23일 종가는 3만6650원으로 이달 초 대비 30% 증가했다. 코로나19 사태로 증시가 폭락하기...
7,"'방탄소년단 테마주' 대부분 올라, 엔터테인먼트3사는 JYP 빼고 상승",'방탄소년단 테마주'로 묶이는 회사 주가가 대부분 올랐다. 23일 초록뱀미디어 주가는 1.63%(25원) 상승한 1560원에 장을 마쳤다. 초록뱀미디어는 빅히트엔터테인먼트와 손잡고 방탄소년단의 활동 과정을 담은...
8,쌍방울·남영비비안 마스크 허위 계약 논란...일방적 계약 파기 VS 일시적 주...,당시 주가를 살펴보면 마스크 테마주에 편입된 남영비비안은 28일 전 거래일 종가 대비 약 19.3% 상승한... 이에 업계의 한 관계자는 “지난해 한일 무역분쟁으로 인해 ‘애국 테마주’로 급등한 쌍방울이 코로나19로...
9,"[특징주] '이낙연 테마주' 남선알미늄, 2.42% 상승",알루미늄 등 비철금속을 제조·판매하는 남선알미늄은 계열 관계인 SM그룹 삼환기업 전 대표이사인 이계연 씨가 이낙연 더불어민주당 의원의 친동생이라는 이유에서 이낙연 관련 테마주로 거론된다.
