,title,contents
0,"[5일 13시 전선 테마주 시황-오후] LS,가온전선 등이 상승세 주도","9월 5일 목요일 이시간 현재 전선 테마주, 관련 현황을 알아본다. 13시 26분 현재 전선주를 견인하고 있는 것은 LS 종목이다. LS은 주당 46,150원의 거래가격으로 전일대비+1.32%의 등락률을 기록 전선테마주를..."
1,"[금 관련주 테마주 시황-마감] 정산애강,KODEX 은선물(H) 등이 주도...","9월 5일 목요일 금 관련주 테마주 종가를 알아본다. 이 날 금 관련주주를 견인한 것은 정산애강 종목이다. 정산애강은 주당 2,210원의 거래가격으로 전일대비+1.38%의 등락률을 기록 금 관련주테마주를 주도한..."
2,롤러코스터 타는 '조국 테마주',"가운데, '정치인 테마주' 역시 어김없이 들썩거리고 있다. 하지만 해당 정치인의 행보와 기업 경영 사이에... 이런 가운데, 이른바 '정치인 테마주'도 들썩이고 있다. '조국 테마주'로 꼽혀온 일부 기업들의 주가가 정국의..."
3,`조국 청문회` 하루 앞두고 테마주 기승,[사진출처 = 연합뉴스] 조국 법무부 장관 후보자 청문회가 여야의 진통 끝 합의 끝에 6일 열리는 가운데 조 후보자의 정치 테마주로 분류된 종목들이 시장의 뜨거운 감자다. 5일 한국거래소에 따르면 이른바 '조국 테마주...
4,"엔터테인먼트3사 주가 모두 올라, '방탄소년단 테마주'는 엇갈려",'방탄소년단 테마주'로 묶이는 회사들 주가는 엇갈렸다. 지엠피 주가는 2.39%(230원) 오른 9870원에 거래를 끝냈다. 지엠피 자회사 브이티코스메틱은 방탄소년단과 협업한 화장품 'VTXBTS'를 세계시장에 판매한다....
5,"[특징주] 조국 테마주, 이틀째 강세","조국 법무부 장관 후보자 테마주로 분류되는 종목들이 3일 장 초반 강세다. 3일 오전 9시20분 현재... ‘조국 테마주’로 불린다. 한편, 조 후보자는 인사청문회가 사실상 무산되자 지난 2일 기자회견을 열고 자녀..."
6,'이때다 싶은 투자자'…조국 사태에 정치관련 테마주 기승,조국 법무부장관 후보자의 자녀 표창장 의혹 등 신상 문제가 도마에 오르면서 증권가에서 정치 테마주가 기승을 부리고 있다. 5일 증권업계에 따르면 대학 동문이라는 이유로 조국 테마주로 꼽히는 화천기계는...
7,[특징주] 조국 테마주 기자회견 후 변동성 확대,화천기계는 조 후보자와 이 업체 감사가 미국 버클리대 법대 동문이라는 이유로 조국 테마주에 묶였다. 같은 시각 코스닥시장에서 삼보산업(009620)은 전거래일 대비 6.65%(130원) 하락한 1825원을 기록 중이다....
8,"LGD·SK머티리얼즈, 소재 국산화…'극일 테마주' 힘 받나","- LGD 고순도 불화수소 국산품 대체 등 韓기업들 잇단 성과 - 한일 갈등 장기화 전망…""국내 소재 업계 새판 열릴 것"" - 일각 ""주가 이미 반영됐고 실제 수혜 이익 규모 작을 수도"" [표=이데일리 문승용 기자][이데일리 김대웅..."
9,"'방탄소년단 테마주' 대체로 올라, 엔터테인먼트3사는 JYP만 하락",'방탄소년단 테마주'로 묶이는 회사들 주가가 대체로 올랐다. 4일 넷마블 주가는 전날보다 2.31%(2200원) 오른 9만7400원에 거래를 마쳤다. 넷마블은 빅히트엔터테인먼트의 2대주주로 방탄소년단 지식재산권을...
10,"[주류 테마주-마감] 보해양조,하이트진로 등이 상승세 견인중","9월 5일 목요일 주류 테마주 종가를 알아본다. 이 날 주류주를 견인한 것은 보해양조 종목이다. 보해양조는 주당 1,220원의 거래가격으로 전일대비+6.55%의 등락률을 기록 주류테마주를 주도한 것으로 알려졌다...."
11,"증권가, 추석·계절 테마주 관심↑…""어떤 종목 담을까""",추석 테마주를 비롯해 가을·겨울에 상승할 수 있는 종목 찾기에 나선 모습이다. 국내 증시가 박스권에 갇혀 있는 모습을 보이자 상승 여력이 있는 종목 찾기에 나선 것으로 분석된다. 추석 테마주로는 먼저 영화주가...
12,"[NFC 테마주-마감] 파트론,유비벨록스 등이 주도...","9월 5일 목요일 NFC 테마주 종가를 알아본다. 이 날 NFC주를 견인한 것은 파트론 종목이다. 파트론은 주당 12,250원의 거래가격으로 전일대비+0.41%의 등락률을 기록 NFC테마주를 주도한 것으로 알려졌다...."
13,"[보험 테마주-마감] 흥국화재,삼성생명 등이 상승세 주도","9월 5일 목요일 보험 테마주 종가를 알아본다. 이 날 보험주를 견인한 것은 흥국화재 종목이다. 흥국화재는 주당 3,365원의 거래가격으로 전일대비+2.75%의 등락률을 기록 보험테마주를 주도한 것으로 알려졌다...."
14,"[금 관련주 테마주 시황-마감] 정산애강,KODEX 은선물(H) 등이 주도...","9월 5일 목요일 금 관련주 테마주 종가를 알아본다. 이 날 금 관련주주를 견인한 것은 정산애강 종목이다. 정산애강은 주당 2,210원의 거래가격으로 전일대비+1.38%의 등락률을 기록 금 관련주테마주를 주도한..."
15,"[카지노 테마주-마감] 코텍,파라다이스 등이 상승세 견인중","9월 5일 목요일 카지노 테마주 종가를 알아본다. 이 날 카지노주를 견인한 것은 코텍 종목이다. 코텍은 주당 12,900원의 거래가격으로 전일대비+1.98%의 등락률을 기록 카지노테마주를 주도한 것으로 알려졌다...."
16,"[여행/관광 테마주-마감] 아시아나항공,세중 등이 상승세 견인중","9월 5일 목요일 여행/관광 테마주 종가를 알아본다. 이 날 여행/관광주를 견인한 것은 아시아나항공 종목이다. 아시아나항공은 주당 5,410원의 거래가격으로 전일대비+2.27%의 등락률을 기록 여행/관광테마주를..."
17,"[사료 테마주 시황-마감] 고려산업,한일사료 등이 상승세 견인중","9월 5일 목요일 사료 테마주 종가를 알아본다. 이 날 사료주를 견인한 것은 고려산업 종목이다. 고려산업은 주당 4,340원의 거래가격으로 전일대비+29.94%의 등락률을 기록 사료테마주를 주도한 것으로 알려졌다...."
18,"[바이오시밀러 테마주-마감] 제넥신,에이프로젠제약 등이 주도...","9월 5일 목요일 바이오시밀러 테마주 종가를 알아본다. 이 날 바이오시밀러주를 견인한 것은 제넥신 종목이다. 제넥신은 주당 54,900원의 거래가격으로 전일대비+3.00%의 등락률을 기록 바이오시밀러테마주를 주도한..."
19,"[5일 13시 풍력에너지 테마주 오후 시황] 태웅,씨에스윈드 등이 주도...","풍력에너지 테마주, 관련 현황을 알아본다. 13시 22분 현재 풍력에너지주를 견인하고 있는 것은 태웅 종목이다. 태웅은 주당 10,900원의 거래가격으로 전일대비+6.34%의 등락률을 기록 풍력에너지테마주를 주도하고..."
20,"[5일 09시 PCB생산 테마주 오전 시황] 삼성전기,비에이치 등이 주도","PCB생산 테마주, 관련 현황을 알아본다. 09시 30분 현재 PCB생산주를 견인하고 있는 것은 삼성전기 종목이다. 삼성전기는 주당 96,500원의 거래가격으로 전일대비+4.10%의 등락률을 기록 PCB생산테마주를 주도하고..."
21,"[수산주 테마주-마감] CJ씨푸드,신라교역 등이 상승세 견인중","9월 5일 목요일 수산주 테마주 종가를 알아본다. 이 날 수산주주를 견인한 것은 CJ씨푸드 종목이다. CJ씨푸드는 주당 3,760원의 거래가격으로 전일대비+3.01%의 등락률을 기록 수산주테마주를 주도한 것으로..."
22,"[자동차 대표주 테마주-마감] 현대위아,현대차 등이 상승세 견인중","9월 5일 목요일 자동차 대표주 테마주 종가를 알아본다. 이 날 자동차 대표주주를 견인한 것은 현대위아 종목이다. 현대위아는 주당 48,450원의 거래가격으로 전일대비+3.64%의 등락률을 기록 자동차 대표주테마주..."
23,"[IT대표주 테마주 시황-마감] SK하이닉스,삼성전자 등이 상승세 주도","9월 5일 목요일 IT대표주 테마주 종가를 알아본다. 이 날 IT대표주주를 견인한 것은 SK하이닉스 종목이다. SK하이닉스는 주당 83,000원의 거래가격으로 전일대비+3.75%의 등락률을 기록 IT대표주테마주를 주도한..."
24,"[탄소 배출권 테마주 시황-마감] 후성,에코프로 등이 주도...","9월 5일 목요일 탄소 배출권 테마주 종가를 알아본다. 이 날 탄소 배출권주를 견인한 것은 후성 종목이다. 후성은 주당 9,830원의 거래가격으로 전일대비+2.08%의 등락률을 기록 탄소 배출권테마주를 주도한 것으로..."
25,"[13시 27분 백화점 테마주 오후 시황] 베뉴지,대구백화점 등이 상승세 주도","백화점 테마주, 관련 현황을 알아본다. 13시 27분 현재 백화점주를 견인하고 있는 것은 베뉴지 종목이다. 베뉴지는 주당 1,915원의 거래가격으로 전일대비+2.68%의 등락률을 기록 백화점테마주를 주도하고 있는 것으로..."
26,"'방탄소년단 테마주' 대체로 상승, 엔터테인먼트3사는 SM만 올라",'방탄소년단 테마주'로 묶이는 회사들 주가가 대체로 올랐다. 3일 드림어스컴퍼니 주가는 전날보다 1.76%(100원) 떨어진 5590원에 거래를 마쳤다. 드림어스컴퍼니는 방탄소년단의 음원을 유통하며 모회사...
27,"[5일 09시 태양광 테마주 오전 시황] 티씨케이,OCI 등이 주도","태양광 테마주, 관련 현황을 알아본다. 09시 32분 현재 태양광주를 견인하고 있는 것은 티씨케이 종목이다. 티씨케이는 주당 53,700원의 거래가격으로 전일대비+4.27%의 등락률을 기록 태양광테마주를 주도하고..."
28,`5G게` 올랐다…테마주 케이엠더블유 이어 RFHIC·에치에프알 급등,코스닥시장에서 5G 테마주 상승세가 매섭다. 케이엠더블유 주가가 3개월 새 70% 넘게 뛰며 코스닥 시가총액 4위까지 올라온 데 이어 RFHIC와 에치에프알 등 기업 주가도 급등하고 있다. 4일 RFHIC 주가는 전 거래일...
29,"[방위산업 테마주 시황-마감] 삼영이엔씨,포메탈 등이 주도...","9월 5일 목요일 방위산업 테마주 종가를 알아본다. 이 날 방위산업주를 견인한 것은 삼영이엔씨 종목이다. 삼영이엔씨는 주당 5,440원의 거래가격으로 전일대비+7.51%의 등락률을 기록 방위산업테마주를 주도한..."
30,"[헬스케어 테마주 시황-마감] 루트로닉,인터로조 등이 주도...","9월 5일 목요일 헬스케어 테마주 종가를 알아본다. 이 날 헬스케어주를 견인한 것은 루트로닉 종목이다. 루트로닉은 주당 9,160원의 거래가격으로 전일대비+7.13%의 등락률을 기록 헬스케어테마주를 주도한 것으로..."
