,title,contents
0,테마주로 뜨면 팔아버리는 최대주주,테마주로 엮이면서 주가가 오른 상장사의 최대주주가 주식을 팔아치우는 사례들이 잇따르고 있다.... 이글벳은 아프리카돼지열병(ASF) 관련 테마주로 꼽히면서 지난 16일 종가 6300원에서 지난 20일 장중 1만1750원까지...
1,"[특징주]‘돼지열병 테마주’ 이글벳, 대주주 일가 매도에 약세","‘돼지열병 테마주’ 이글벳, 대주주 일가 매도에 약세 ‘돼지열병 테마주’ 이글벳이 대주주 일가의 60만주 매도에 약세다. 26일 한국거래소에 따르면 이날 오전 9시49분 현재 이글벳은 코스닥시장에서 전날보다..."
2,"엔터테인먼트3사 주가 모두 올라, '방탄소년단 테마주'는 약세",'방탄소년단 테마주'로 묶이는 회사들 주가는 대체로 떨어졌다. 키이스트 주가는 8.35%(205원) 뛴 2660원에 거래를 끝냈다. 25일 큰폭으로 떨어졌다가 이틀 연속 올랐다. 키이스트의 일본 자회사 SMC는 방탄소년단...
3,[국내증시브리핑] 9월 27일 전선업종 종목 현황,대한전선이 전선 테마주에서 가장 활발한 거래 추세를 보이고 있다. 대한전선은 전일 대비 55원 상승(+9.... 전선 테마주의 또 다른 종목 가온전선과 일진전기 역시 등락장을 이어가고 있다. 가온전선은 +0.60...
4,"[증시전망] 제지 테마주 '국일제지' 09시 현재 4,985원에 거래","27일 09시 제지 테마주 시황 브리핑 현재 제지 테마주 '국일제지'은 현재가 4,985원을 기록중에 있다. 이는 전일대비 45원 만큼 상승한 상태이며, +0.91% 상승한 금액에 거래중이다. 국일제지에 더불어 상승한 종목인..."
5,"[13시 23분 금 관련주 테마주 오후 시황] 정산애강,TIGER 금은선물(H) 등이 주...","관련주 테마주, 관련 현황을 알아본다. 13시 23분 현재 금 관련주주를 견인하고 있는 것은 정산애강 종목이다. 정산애강은 주당 2,155원의 거래가격으로 전일대비+0.70%의 등락률을 기록 금 관련주테마주를..."
6,[증시전망] 9월 27일 수산주업종 주요 종목 현황,사조오양이 수산주 테마주에서 가장 활발한 거래 추세를 보이고 있다. 사조오양은 전일 대비 100원 상승... 수산주 테마주의 또 다른 종목 동원수산과 사조산업 역시 등락장을 이어가고 있다. 동원수산은 +0.47...
7,[국내주간증시] 9월 27일 방위산업업종 주식 현황,휴니드가 방위산업 테마주에서 가장 활발한 거래 추세를 보이고 있다. 휴니드는 전일 대비 40원 상승(+0.55... 방위산업 테마주의 또 다른 종목 포메탈과 한화 역시 등락장을 이어가고 있다. 포메탈은 보합세 등락해...
8,[국내증시브리핑] 9월 27일 탄소 배출권업종 종목 현황,에코프로가 탄소 배출권 테마주에서 가장 활발한 거래 추세를 보이고 있다. 에코프로는 전일 대비 250원... 탄소 배출권 테마주의 또 다른 종목 후성과 한솔홈데코 역시 등락장을 이어가고 있다. 후성은 +0.36% 등락해...
9,[국내증시전망] 9월 27일 보험업종 주가 현황,"DB손해보험이 보험 테마주에서 가장 활발한 거래 추세를 보이고 있다. DB손해보험은 전일 대비 1,400원... 보험 테마주의 또 다른 종목 코리안리와 메리츠화재 역시 등락장을 이어가고 있다. 코리안리는 +0.38..."
