,title,contents
0,"엔터테인먼트3사 중 SM만 주가 올라, '방탄소년단 테마주'는 혼조",'방탄소년단 테마주'로 묶이는 회사들 주가도 혼조했다. 키이스트 주가는 2.15%(60원) 상승한 2845원에 장을 마쳤다. 키이스트의 일본 자회사 SMC는 방탄소년단 일본 팬클럽을 운영하고 관리한다. 디피씨 주가는 0....
1,[국내증시브리핑] 11월 5일 제지업종 종목 현황,국일제지가 제지 테마주에서 가장 활발한 거래 추세를 보이고 있다. 국일제지는 전일 대비 130원 상승(+2.... 제지 테마주의 또 다른 종목 깨끗한나라와 페이퍼코리아 역시 등락장을 이어가고 있다. 깨끗한나라는 +2....
2,[국내증시브리핑] 11월 5일 타이어업종 종목 순위,한국테크놀로지그룹이 타이어 테마주에서 가장 활발한 거래 추세를 보이고 있다. 한국테크놀로지그룹은... 타이어 테마주의 또 다른 종목 넥센타이어와 금호타이어 역시 등락장을 이어가고 있다. 넥센타이어는 -0....
3,[증시전망] 11월 5일 전선업종 주가 시황,"LS이 전선 테마주에서 가장 활발한 거래 추세를 보이고 있다. LS은 전일 대비 1,100원 상승(+2.28%)한 49... 전선 테마주의 또 다른 종목 대한전선과 대원전선 역시 등락장을 이어가고 있다. 대한전선은 +1.27% 등락해..."
4,[국내증시전망] 11월 5일 금 관련주업종 주가 시황,고려아연이 금 관련주 테마주에서 가장 활발한 거래 추세를 보이고 있다. 고려아연은 전일 대비... 금 관련주 테마주의 또 다른 종목 정산애강과 KODEX 골드선물(H) 역시 등락장을 이어가고 있다. 정산애강은...
5,[국내증시전망] 11월 5일 바이오시밀러업종 종목 현황,이수앱지스가 바이오시밀러 테마주에서 가장 활발한 거래 추세를 보이고 있다. 이수앱지스는 전일 대비... 바이오시밀러 테마주의 또 다른 종목 제넥신과 한올바이오파마 역시 등락장을 이어가고 있다. 제넥신은...
6,[국내증시전망] 11월 5일 사료업종 주가 시황,케이씨피드가 사료 테마주에서 가장 활발한 거래 추세를 보이고 있다. 케이씨피드는 전일 대비 35원 상승... 사료 테마주의 또 다른 종목 고려산업과 팜스코 역시 등락장을 이어가고 있다. 고려산업은 +0.70% 등락해...
7,[증시전망] 11월 5일 수산주업종 주요 종목 현황,"동원산업이 수산주 테마주에서 가장 활발한 거래 추세를 보이고 있다. 동원산업은 전일 대비 4,500원... 수산주 테마주의 또 다른 종목 신라교역과 사조산업 역시 등락장을 이어가고 있다. 신라교역은 +1.24% 등락해..."
8,[증시전망] 11월 5일 탄소 배출권업종 주가 시황,이건산업이 탄소 배출권 테마주에서 가장 활발한 거래 추세를 보이고 있다. 이건산업은 전일 대비 90원... 탄소 배출권 테마주의 또 다른 종목 유니슨과 에코프로 역시 등락장을 이어가고 있다. 유니슨은 +0.36...
9,[증시전망] 11월 5일 카지노업종 종목 현황,파라다이스가 카지노 테마주에서 가장 활발한 거래 추세를 보이고 있다. 파라다이스는 전일 대비 350원... 카지노 테마주의 또 다른 종목 GKL과 코텍 역시 등락장을 이어가고 있다. GKL은 -0.23% 등락해 전일 대비...
10,[증시전망] 사료 테마 케이씨피드 우세로 장마감,"사료 테마주의 최고 인기주로 자리잡았다.케이씨피드는 금일 2,410원 선에 최종 거래가를 형성했다. 이는 전일 대비 55원( +2.34%%) 상승한 것이다. 또한 273,070주의 거래량으로 활발한 거래를 보여주며 사료 테마주의..."
11,[국내증시브리핑] 11월 5일 LED산업업종 주가 시황,금호전기가 LED산업 테마주에서 가장 활발한 거래 추세를 보이고 있다. 금호전기는 전일 대비 880원... LED산업 테마주의 또 다른 종목 일진디스플과 서울반도체 역시 등락장을 이어가고 있다. 일진디스플은 +2.98...
12,[증시전망] 11월 5일 LBS관련주업종 종목 순위,이루온이 LBS관련주 테마주에서 가장 활발한 거래 추세를 보이고 있다. 이루온은 전일 대비 20원 상승(+1.... LBS관련주 테마주의 또 다른 종목 한양디지텍과 파트론 역시 등락장을 이어가고 있다. 한양디지텍은 -0....
