,Theme,Company
46,기생충,"['바른손이앤에이', '바른손', '지엔코', ‘큐캐피탈’, '덱스터']"
47,김철민,['제일바이오']
48,나파모스타트,"['뉴지랩', 'SK케미칼', '종근당', '제일약품', '파미셀', '명문제약', '제일파마홀딩스', '씨젠', 'YBM넷', '동화기업']"
49,남북경협,"['현대로템', '도화엔지니어링', '에코마이스터', '흥구석유', '남광토건', '좋은사람들', '재영솔루텍', ‘아난티', ‘남화토건', '제이에스티나', '부산산업', '한창', '경농', '일신석재']"
50,남북철도,"['현대로템', '에코마이스터', '대아티아이', '부산산업', '푸른기술']"
51,낸드,"['유진테크', '심텍', '유니테스트', '디엔에프', '테스', '테크윙', '피에스케이', '원익QnC', '피에스케이홀딩스', '케이씨텍', '한솔케미칼', '솔브레인홀딩스']"
52,노바백스,"['씨젠', '오상자이엘']"
53,노인복지,"['대원제약', '인성정보', '씨유메디칼', '오스코텍', '엔지켐생명과학', '아이센스']"
54,농기계,"['유안타증권', '다원시스']"
55,농업,"['대동공업', '아세아텍', '우진비앤지', '조비', '효성오앤비', 'KPX생명과학']"
56,다이오드,"['베셀', '두산솔루스', '영우디에스피', '와이엠씨', '비아트론']"
57,닭,"['하림', '마니커', '미래생명자원', '우성사료', '정다운', '전방', '키움증권', '강원', '현대사료', '체리부로', '한일사료', '마니커에프앤지']"
58,당뇨병,['에스피시스템스']
59,대입,"['메가엠디', '메가스터디']"
60,대체육,"['하림', '마니커에프앤지']"
61,데이터3법,"['웹케시', '엔씨소프트', '유니셈', '포스코엠텍']"
62,덱사메타손,"['신일제약', '한올바이오파마', '휴메딕스', '대원제약', '부광약품', 'JW중외제약', '신풍제약', '국제약품', '영진약품', '경동제약', '일성신약', '동구바이오제약', '대한뉴팜', '환인제약', '명문제약', '화일약품', '바이오톡스텍', '우리들휴브레인', '아이큐어', '휴마시스']"
63,도시가스,"['예스코홀딩스', '삼천리', '지에스이', '대성에너지', '한국가스공사', '대성홀딩스']"
64,동물의약품,['이글벳']
65,돼지열병,"['마니커', '하림', '정다운', '중앙백신', '마니커에프앤지', '우리손에프앤지', 'NH투자증권', '윙입푸드', '유테크', '태경산업', '하림지주', '고려시멘트', '세하', '씨티씨바이오', '팜스토리', '파루', '우진비앤지', '더블유에프엠', '코미팜', '체시스', '이글벳', '대신증권', '대한뉴팜', '진바이오텍', '대성미생물', '우성사료', '신라에스지', '대한제당', '이지바이오', '삼성전자', '제일바이오', '선진']"
66,드라마,"['제이콘텐트리', 'SBS', '스튜디오드래곤', 'CJ']"
67,드론,"['퍼스텍', '해성옵틱스', '한국항공우주', '기산텔레콤', '아시아경제', '엠씨넥스', '피씨디렉트', '한화에어로스페이스', '네온테크', '뉴로스', '파트론', '제이씨현시스템']"
68,디스플레이,"['SKC', '필옵틱스', '경인양행', '코세스', '유티아이', 'SK머티리얼즈', '루멘스', '파인텍', '덕산하이메탈', '일진디스플', '동진쎄미켐', 'LG디스플레이', '톱텍', '아이컴포넌트', 'DMS', '상보', '에스에프에이', 'PI첨단소재', '덕산네오룩스']"
69,디지털화폐,['케이씨티']
70,라텍스,['코디엠']
