,themes,vectors
0,2차전지,"[-7096.778220521286, 12871.226797353534, 2587.4925846250844, 22770.619435406265, 7392.495108507554, 7289.06245861575, -12656.502486267418, 46858.85998840863, -15898.072224267837, -5348.996648936474, -24912.81180452765, -15849.579805496614, 638.4388288680348, 1271.7963148744311, -8778.728503191727, 6573.567964833375, -3820.1007807536917, -5487.788011516153, -1754.5394061827974, -4508.189502642199, -21292.923209982488, -13810.792316193838, 30407.589533874096, -591.6609743514855, 6295.2783729242055, -10307.35802853803, -428.4251636387198, 14174.178712695604, -13250.018405310562, -13500.899776879873, -672.3800002050557, 16016.430941925733, 3858.665713507289, -23164.813630205215, 40405.810000801604, -21275.768513090006, -9551.05741883762, -4983.4236090195045, 13162.320200764778, -535.9830649517826, -13591.55852981651, -15713.425382456291, 4574.493243454373, 15716.125477932394, 8274.86816951452, 6609.881096461671, -12917.340518159908, 7092.448900799558, -3096.624434839847, 3312.774781804852, 12974.332712436182, 3218.6235237158553, 9001.711773829811, 8726.30500905319, -20195.294862546754, -11820.532526577394, -2089.249264276994, 7660.427519460849, -1755.3217461438544, 26005.514206818712, -11355.26802547244, 3392.7397873072623, 14583.456179006957, -12594.421181016165, 6531.9848783380585, 11816.050826082937, 17156.126910918058, -3084.4604091590736, -39528.950747655355, 367.8959151364252, -8996.056567828055, -5054.840375027008, -14619.669997441873, -6931.265028296853, 7741.107157284685, 18895.716615853635, 10255.485719871212, 3199.780807419862, 42857.187315766554, -12111.993784477469, 4963.098942328012, 10990.833413452943, 4618.068380844197, -29662.03146031231, -26716.200248164678, -4330.988175224833, 1858.4889736216865, -21007.528855609366, -21997.15076258703, -28513.821669674886, -13112.747595135006, 8310.126656430235, 15766.33264543314, -3958.5740118019166, -11059.097055017133, 18076.32749155545, 9667.907668412488, 8397.923182506522, 6207.324991534726, -1458.63285646867, 4124.758482442994, -23845.562966383877, -3742.425676382991, -11515.393444310874, 23206.349572568433, -4676.259484796727, -2085.6898679605365, -21296.364062472887, -25797.571698508196, -32797.64994182896, 9973.651592091861, 9249.220937428443, 23007.759038502532, 34733.28259186473, 13380.211596118204, 5221.609011674358, 14606.244509817727, 24759.92850303385, 5619.407962125348, 4416.78892156115, -4293.4879904818445, -4874.152725486099, -9929.308487150542, 2824.3403700615745, -3839.6039353485685, -4937.210257194329, -23079.51939481085, 3020.345272174687, 25082.25763931888, -31431.787831591108, -31409.066473434672, 12310.161681361962, -2163.187681868938, 7465.4656640358735, -1016.2016961390618, -658.8445398117728, -2778.6045753785875, 22253.92661840096, -8197.918800694402, 13746.300115059537, -21426.395209305774, -14476.530490316072, -8687.732940841466, -24094.479699704287, -26755.461506371183, -3122.3775576681364, -4129.632610511442, -21497.38579442131, -12286.280606811197, 2069.6114846726414, 12170.790644779976, -9310.304173663957, -10161.136734855803, -18861.00547305355, 5229.6448473609635, -1297.878761782893, -1598.6195839297725, 50.33025265997276, -5274.942302614243, 6586.646520828246, 895.2841898400075, -6405.805387035245, 4723.156059186207, 17408.795772694764, 8495.385756854288, -2349.2141316837515, 19592.838825167913, 6647.998745765857, 1822.2663930031995, -17364.140022741187, -7674.220429576715, 8625.540152937727, 20136.19381300162, 10121.970174626447, -6338.834653138241, 5428.319869921943, 15497.016127122683, -19458.84418849286, 6256.477305078966, -42670.81341428301, -10825.801986352955, 5307.222753521346, 38620.94038759841, 8936.624856534181, -25633.358588728006, 8695.868951691846, -5533.164613447734, 7354.489946752932, 4118.071176289581, -2387.74565558217, -1555.0895736373495, 90.44933074875735, -18398.656891367136, 683.3013438066846, -3955.2787907361053, 33744.15341050596, 10820.807342034066, 18041.48790014416, 10845.35616977478, 3420.083914368588, -21827.795834403252, 28277.225775980798, 29971.56274295895, -9279.983434706111, 5886.661544564275, 4390.794654791738, 15567.2955758491, 241.60406281727046, 4989.766913516505, -14187.351785765932, -1782.5163506700192, -1745.0908322755713, 10598.502295894548, 20701.405722356576, 6938.999606376514, -10053.82170404829, 10106.715070410333, 1816.9696991174278, -15268.51671325928, -9469.84159649181, -29745.38378213764, -5613.464620497107, 13708.792917715899, 4646.483370890666, 6750.633885004383, -20259.449888751144, 2155.2644634257304, 11177.853719524355, 7957.045274611242, 15041.111236767058, 2971.7219960544317, -24417.916807590547, -23614.08168872251, -14562.873907461035, -28198.072947477078, 4788.242422734038, -11597.910592831438, 7124.128049181469, -11784.278609795649, 13933.678545127681, -14257.80062719027, -23301.642229755147, -8243.14454463683, -9288.447527985983, 9197.616395391757, 1440.5584452633047, -32743.777430589515, 3010.7632126935205, -4876.529284205171, 4834.6506400317885, 11385.694819814351, -11268.819481016908, -2886.588916289569, 1573.4241230692714, -8128.012993227909, -11957.329499474523, -10313.178959333105, -13705.32914539126, -41311.80077916267, -8660.719094942411, -1658.0695070175716, 12208.065753522736, -17009.65007207822, -6540.29922193315, 502.81112787901657, 49330.212670461275, 5180.251887576596, -2942.6974510295768, -6856.954636358569, -7416.548717822996, 3509.857870271793, -5870.399350766209, -130.64810770347822, 4900.002811634855, 6055.178328585054, 5519.764233372611, 20137.071555573493, 9495.948388673598, 2391.170652184024, -1952.0004654367804, 7539.316692586188, -9476.154786553649, -8272.079531199706, -5438.036290987686, 37864.50730358079, 9041.056235856202, -19417.538394678704, -40050.67557837197, -37415.83805133649, 28100.31126545748, -10718.784760559334, -9981.434434249764, 15246.198011350905, -11871.481520476693, 7980.947634879209, 13147.481266239018, -25339.06462978525, 6200.634143645526, -13653.692454551347, -4952.264613088162]"
1,3D프린터,"[10903.843000196677, 18503.521148866625, -3156.1595285399235, 19523.541101563813, 16342.03609996043, -563.6419159117067, 5373.591144191159, 35586.88698792885, 662.8102882562034, -6401.816197183041, -26612.57538606319, 5238.828866771655, 3549.587503004179, -2219.028981866868, 16785.199905163143, 900.5150141123158, -2710.2459228187254, -789.269948047644, 18416.79366099194, -25130.99034618665, 5925.42009005454, -26781.377189566803, 17349.761307121313, 614.4175251667621, 17109.454267050973, 3066.686382332351, 20187.575717984564, 9147.973162312002, -22263.716873709112, -20261.768146273593, -26900.729410325344, 2006.3482006772101, 12689.172264766996, -28725.443174186978, 12300.265862802742, -33309.14785689281, -36346.89815457958, -1165.574432917514, 10114.25027183877, -4771.448932501866, -11623.082969877578, -24573.753887201252, 15278.704706615186, 31009.927473539603, 41548.572133515845, 19853.03101552582, -4986.850642937265, 1588.370046328113, -2493.418230850715, 10999.104243324939, -1961.3115823653352, 2045.0378254480752, 20505.734189287497, 28714.75387278726, -13287.956602512131, -4249.580139909594, 9961.86592203728, 5518.9542190821885, -14426.584809604694, 27153.484502400242, -767.3804243766353, 7702.012484315419, 9817.419258750393, -11250.601413485485, 5129.516178218968, 10365.916439032793, 17741.88865269583, -25952.441001156432, -57083.06355116615, 6495.820541615452, -7520.442307450401, 6606.500343192485, -2332.7961467531277, 17256.474683567416, 13605.741125907778, 11022.130610472635, -18502.8999057631, 5321.947439382566, 24997.05757686142, 14341.959277773392, 3011.008872096718, 15870.82935759287, -1812.6143816324184, -34795.089462461765, -12440.628064754681, -13095.48525615054, -15906.44751284676, -24877.128784323875, -26939.57257989951, -59450.04173667685, -12458.537188746704, 9828.39963736615, 22767.3636076006, 4968.46252599085, -688.5752095936477, 30697.0336368687, 12713.337739323964, 19291.379687636683, -2383.1512883981486, 4277.181356232599, 18910.155646974017, -27973.98312998739, -7983.992386076425, -4506.7444966105395, 25170.858308495568, -13058.047976259724, 8765.389838900868, -37556.02580566042, -18441.56913693023, -20355.648772889166, 6909.980799645127, 15219.240885527222, -4903.51195809817, 53424.22799137198, 14927.391974950246, 9836.812589335837, 19557.57296919012, 20867.01056027526, -7070.915959630394, -3728.733906583395, -14334.604513542145, -3366.9668984498494, -20361.3200971692, -607.3005827488378, -23887.22106182936, -16173.525882842754, -35266.690422434694, -9147.434554672465, 32747.655376432813, -23639.288412712034, -33489.09639870432, 238.97098085854668, 9220.266175595243, 15672.211677473737, -15520.036755437457, -6272.069835911796, -374.35949753868044, 18306.361096223845, -13397.255554976087, 15282.439154150576, -29304.43844525401, -13427.419484526967, 15302.434517559363, -55006.84920067557, -15134.394827806449, 6006.004243101459, 161.5813745164778, -21458.442778434022, -1713.7668036859031, 16340.232879154166, 2519.791812978452, -25799.784319069586, -9577.362915726775, -15773.236077097303, 7447.767854349222, -2450.3161869578653, -12882.4698944001, 4843.4636986033365, 20940.88770837384, 25215.688380839274, -8186.557458113297, -21927.5927868851, 10917.894112154609, 1410.5380709409364, 6150.718505593526, 5168.353443916829, 8042.349354750069, 8529.502875773178, -14460.314256395883, -19986.207847504396, -5079.811143981933, 8460.809972850882, 19321.720326170667, -11374.166341396456, -5643.708984588855, 27899.34347257053, 21652.30323781757, -4665.419817938426, -11855.158632149782, -38127.15401270063, -16258.142173296666, 17622.429301496813, 32564.521973584604, -2424.1317889445345, -22037.004195387184, 638.1336648377473, -24254.747499739082, -3782.0970428193104, -11082.712165955687, -3690.215668905963, -11818.762791818459, 17936.132090483596, -9050.293183801405, 492.1002587041439, 1917.631002864684, 36160.38123539066, 32384.686388788512, 22131.627665017135, 7067.340593732457, -10493.314259606675, -7938.950400807429, 20509.7098448475, 22070.33780297762, -5384.746411644563, 13535.234048132594, 8810.348604137893, 6298.466249507939, 17348.18225968125, 4284.885232031636, -27258.16627757979, -16675.985719142263, 8234.544304869778, 5467.4566282939195, 8664.701926862283, -2108.8001985792653, -24375.081356438888, 9877.987029465847, 23076.63733236617, 2375.3131694734, -2275.5993602230446, -33102.16717268935, -22.241563324480012, 5386.621740032794, 23752.800155216755, -19712.371852041877, -19628.6112893417, 848.6968794806453, 2223.201073269698, -5339.888905841537, 22702.096702234616, 10689.588258007308, -44587.454886462176, -5399.299770966347, -21664.737488420004, -25338.05680985161, 1383.7675752845826, -23668.34426475518, 11790.37760523308, -17637.695067520905, 19607.759573172065, -21184.562760176617, -18919.556282703474, -8355.350382481454, -29897.125289819865, -18300.148211598425, -11828.84784589475, -18683.248145468664, 7370.711346099575, 12604.218305337243, -2847.2749448906106, -1439.8036023401073, -14249.970048457442, -12631.615784841008, -8171.019675149815, -6638.565024946511, -6519.661210181672, -6821.380903323763, -28103.359646021123, -41514.45137453682, -16801.169347648887, -9439.324676009783, 2085.5107692084275, -44873.35013274464, 597.3522877451323, 642.5294372722565, 33089.16903649096, 13329.184386415465, -6834.564021723811, -3456.8225435726345, -11771.413572840742, 861.8579989914433, -9433.644277296775, 22039.91795639773, 12675.247681899276, 7476.191225375165, 9397.551878932965, 24357.015279741667, 14966.899916054717, 8169.083175908483, -12848.984020842938, 17457.03824548557, -17570.238955231307, -19785.3781505636, -13216.359995532606, 37756.69479089181, -1076.5594896927505, -11577.802420548345, -37705.46086123062, -31373.257133440733, 23913.782591689087, -26312.194560533666, 21440.33650681743, 36442.42519192051, -17214.83370226613, 17589.298772084152, 21630.186175611627, -5853.378470660915, 22063.490514613222, -7549.272553300718, -7928.097425377404]"
2,4대강,"[-8006.077763321286, 7393.415823798161, -24043.2783803004, 30632.71778078923, -20990.40427138187, 19274.974509512234, 8879.26950294168, 36223.2549931828, -24473.131017840937, 17131.17059239712, -45554.50146404066, -5936.91762995196, -30079.850656895753, -11040.983631342417, 31841.214487319914, -6912.4646992572525, 22125.150508682655, -44446.941617121454, -18442.733828698634, -3050.4815944274014, -23245.31181543038, -24389.255866769294, 33264.174506448035, -18128.851844892022, 25224.20888617524, -24807.584185008745, 28998.22002282961, 7182.290883291513, 32283.200787559486, -31687.751947487035, -24207.007357544502, 4459.907495939995, -9688.31756912911, -22632.03527902285, 28305.980446049827, -31574.600264599983, -13318.628646965764, 30609.58859823452, -645.5811251427222, -1223.9201953351585, -11418.595324488997, -25269.225313805036, 3848.3227141969837, -21681.064297689998, 33425.65109746104, 19684.142063912426, -12136.595288555502, 30780.368391008815, 20644.263395261973, -28407.92503692131, 12301.469864393934, 6584.120992649087, -11754.2972245251, -8190.420574060379, -10834.658934158593, -22350.06091094698, -32693.30810861982, -365.67715432768455, -759.0571522458304, 17312.772687878372, -16485.994205912648, -7437.866824471013, 12364.197936879325, 1133.9986607579558, -527.6494827270217, 19938.52988870667, -5595.573846781444, -25434.33314983864, -53631.82297083549, -20711.466463146215, 2884.9531300395392, -2853.3777464567465, -11030.667417653254, 7312.7513046608365, 1147.2841798978407, 4658.165709263409, -11591.025105714332, -8116.487733392591, 18713.701805608696, 32730.504025779635, 4877.57210412003, 28349.460170465944, -16743.398571880156, -25622.826055630023, -24691.59604021821, 24608.011471801612, -19635.875110106106, 28449.790888975716, 3656.226665785827, -45971.60115395597, -2876.751017045477, 33907.778218949476, 315.066337877186, 12507.219950352439, 23997.145552699396, 28291.78802049742, -3439.7930767662474, -1.792894263722701, -32854.87779438316, 11302.852340120895, 11812.38409700588, -29985.52288464532, -36174.99065400823, -29615.777763934107, 2622.375620888917, -54138.91103069883, 19825.701416441894, -14505.657896836376, -18536.590938393114, -19663.19047793436, 7421.245489781577, -14475.93594801458, -490.02781938100816, 43376.645580121796, 12037.445028244489, 11849.818966178747, 12028.83186479257, -2511.878971008351, 29788.472412227595, -40201.16592446386, -17823.974992460244, -50688.48599649748, -25052.00373837154, -6327.673433046846, 7274.849272119638, -47151.81124577178, -23114.26843765982, 19435.0544745309, 37629.354995020956, -26535.812152326995, -2806.7082117712744, 5142.043294858246, -11214.576577074902, 4582.892735391564, 6053.5162233922165, 6825.1389593603235, -30104.5288828162, 11315.546745502535, 2579.120233630907, 9574.064400454692, -49127.14144222274, -28901.050096558698, 5044.133771514287, -70731.31117198334, -35016.11148922336, -14527.86361297255, 23560.746866767033, -28938.238100256654, -24013.31913843754, -4088.590497528552, -6024.467225288565, 10379.366112843214, -20053.968258284527, -4138.610087736117, -2621.125704746926, -6695.95495622966, 4398.768559352, -5400.6319208749555, -8375.249511818452, 32877.96978975882, -34932.72146182771, -8538.720262393515, 14519.4836213261, 12651.9914796905, 16997.975129547616, -1505.095220632269, 29025.7158012601, 53152.84661215413, -4584.547842497603, 27010.405840792504, 4646.831929092281, -27851.476011853723, 31360.879260200338, 13698.501009703032, -16689.67620953663, 7926.84868161799, 24370.42258744681, -1209.643000289696, -21430.581962978336, -31174.959922048372, 4717.426465563576, -23167.063989462273, 35935.6519668597, 14739.698880963493, -21998.607439319778, -15934.98347656447, -33876.51677724045, -4658.231552604175, -33830.609473849996, -7602.199580788321, 32902.49115205834, 3987.7393359105517, -42723.760829609164, 18100.91016435672, 7756.800907982717, 18469.553500317452, 18012.202387891593, 19180.129330167998, -6692.897831634109, -17478.13666895205, -8504.970443965562, 20095.41868723411, 28233.760386709706, -22725.621670094813, -6455.623408031348, -415.5061757066578, 20344.479153385924, 39310.62058884226, -5754.685402310104, -24688.526069650543, -42852.318413069865, 93.2826919920044, 32723.61009482728, -5177.25874203266, 25471.61910818753, -20436.53760033885, 8958.41927661639, 10739.368511491208, -8457.125040352039, -5272.709229329601, -56660.542877827924, -9968.796981064419, -18703.178387625536, 12590.487101157472, 34388.24551120345, -48556.43571666215, 7101.261068517022, 15560.162269598877, -7873.054433693687, 22763.36042738901, -40501.35976231142, -30485.445243895087, -26012.927400524524, -2667.671300673257, -36100.91133517696, -10166.59320752362, -17599.701886168034, -5561.852543503162, -31387.812129306534, -2203.562376785587, 11817.46738244177, -13525.557537208282, -5192.492608002998, -16689.68120664139, 19782.01521790799, -43728.412084991636, -21548.34914872276, 14630.445743593125, 11684.204142024566, 11207.936330543409, -5255.9774748567725, 25028.326085252906, -4134.755904058409, 2921.8429706106836, 14006.57243798919, 14263.66789061905, 14561.993317145141, 8464.378107929893, -23729.03699564835, -4442.620484695442, -9838.819763435225, 36742.44758671429, -16122.839877101185, -20707.620670063392, -15408.800391721481, 35493.64685316302, 44794.60699284081, 1870.3739342394256, -38982.14990934782, 17382.223464106835, 18683.862413218478, -12011.2263149067, -12649.11815391104, 1085.6208364958002, 27911.226219162752, 16326.920691227395, 16406.8147871517, 16989.908222998223, -10914.555148047919, -15135.895826169144, 34700.96560043832, -45103.69046618592, -25116.15405279638, 5367.886919363576, 17243.49808032351, 1984.6069629435806, -42206.233726720566, -51307.463836033174, -17340.06999379726, 6106.796659467334, 8096.497433118551, 7402.434870685509, 21599.74741531923, 7009.895201963227, 17446.980219444627, -19638.65527247911, -34436.796027824545, 13730.311083412227, -45762.913269906625, 15724.610785505472]"
3,5G,"[-4483.314872191055, 15860.959652718622, 10811.068007549562, 28252.497737174708, 21138.748695118935, 636.3477188776014, -1746.6880344759556, 34462.924125372, -19954.279866235083, -6450.191943970509, -22736.05212977354, 5487.456108046579, 9532.367537398299, 865.0980862416327, 19040.870758284524, 9037.505455384467, 9180.992018346133, -1374.5151823926717, 4547.203528857644, -14357.29324005288, 1028.9680588316987, -8758.13567995117, 6358.616457529039, 1983.1476838107046, 22430.541179758795, -213.9645439850865, 14820.954819856495, 16418.30662276037, -15037.073335616951, -17235.81268843217, -14944.634729527032, 12536.511575897166, -4314.73309002383, -27582.570370501577, 19909.10557686363, -37368.52275973327, -25358.725077911862, 1886.6627259226952, 21227.256053660967, -23339.70972019009, 3108.512046504533, -20293.503269347217, 9957.149969239952, 19376.378730519093, 30391.733105276042, 7364.887023329153, -8485.276559848455, -3919.7347257273505, -11751.739207892533, 9834.91120835708, 1411.9494739546208, 2562.2972664812587, 23175.435393634136, 24117.882873465947, -18691.534659316036, -5345.792998085119, 12242.87350962439, -530.6389924736577, -13648.037171695712, 24464.60451105109, -7228.843691117596, 24692.022339226547, 12235.87841669895, -8128.899571924441, 3512.307416321215, 7339.271883617737, 17925.765686802093, -12300.460790890997, -41908.76570840838, 732.9772908854502, -910.3839321992127, -2515.4501680645335, -336.7304341497511, 2695.274842665065, 15999.369672720692, 18981.20887662332, -16975.57286741573, 4740.931313740526, 30148.569210599147, 7041.677629915735, 1617.5626182646374, 15345.403194259241, 3562.4881426796783, -23820.26068735594, -14946.497126208036, -12230.413648512476, -10262.209085221693, -19335.73653390356, -29271.90254695405, -51395.55625957339, -6624.059993551928, 1610.970997815195, 13519.501056848734, 5774.6162646784, 919.658382030073, 18064.37460231516, 17048.17265507998, 9545.177863583689, -6988.661211305593, 12907.122358718523, 8820.87867640311, -15300.159931460566, -1586.4366861080052, -15936.034895131772, 30401.753806519817, -10847.390390036686, 5017.646966194894, -20883.72271152545, -25212.250596939266, -17849.585815504368, 14102.81456448877, 8975.872129847092, 3444.397538047233, 37719.629167232524, 5364.367831741782, 12164.501411384728, 11103.728991905591, 34670.27887624444, -11895.945944366227, -5405.600498248823, -19685.10029964884, -4652.36972230822, -21416.022324498277, 1510.451712873306, -9896.328745380684, -19331.953439619036, -30461.248935848198, -10615.573647357553, 22080.791357981972, -31438.72548732617, -39081.20369052884, 7886.049430670682, -3310.220568210185, 10679.927249967033, -2343.91395718863, -2115.8707765465915, 1026.904770370049, 22291.781839473144, -12153.532686107326, 20052.085824974463, -21441.421721201797, -16073.936045447335, 1242.718963158608, -54959.58254726647, -26797.04279498139, 3811.5106758815236, -2532.300242893398, -23021.266862512275, 9545.800118504005, 14268.789765650523, 25064.52123663784, -10256.673092291661, -12341.405344290855, -11579.019269933393, 4524.8804735614685, -11492.545044768136, -9000.314176058397, 4698.343898804858, 21619.446173839824, 17485.769662927836, -3800.6112747849984, -12388.855274800968, 11013.90919207799, 24301.999688881086, 12211.705546078185, 969.3612659975188, 12898.184947774513, 1622.797512741614, -3987.856693303125, -28592.660247514992, -8663.315182494378, -706.1042662953696, 20512.40651042445, -335.4496582215652, 887.7920081059856, 20947.713669018704, 10439.051803291019, -9901.311451079586, -5924.887240639189, -24993.242562431653, -16624.43632860029, 8487.121846884664, 23767.462004898407, 6999.419774878479, -20213.84593378927, -4445.069853751484, -20824.349940893822, 2402.3363572942835, -18052.100542881526, -4080.9926837545936, 2343.718795458335, 8110.339680541423, -17446.146371127135, -3167.637761463775, -6193.725037385011, 26169.286303471592, 20445.877127322252, 28645.296265561483, 3884.899161714886, -11066.38298895942, -19551.072858728003, 16197.00252323586, 31003.626132571546, -15539.25500626408, 594.6888518851447, 4625.675543265606, 12748.747631660197, 6049.3880602451245, 2785.1182503778255, -14692.601255390662, -11895.70795567111, 12738.267558276886, 5419.890467848927, 18439.070283053967, -7496.2115507537965, -21138.473769916433, 10281.141255234019, 5401.807243150775, -10481.748828618458, -3378.531102821231, -33888.59918123096, 1946.6912094061208, 19696.09874351326, 3731.090098209679, -2397.7913589651, -25012.623918988975, -6627.712049649446, 7813.89469716185, -11654.724187603802, 14647.950173520047, 7672.262743548985, -32771.24596967031, -19005.888773045997, -11496.98052244472, -42494.18499531227, 16740.560201776025, -22841.42427365796, 12463.90074955122, -722.5979980558404, 10870.022808635491, -13843.639880727293, -19041.712848603347, -5469.017920338578, -14615.00030182855, -17163.315523769765, -5525.05792586552, -25006.29891726881, 95.02648302278249, 7475.515742541931, -1953.3360156150593, -1959.1594706677133, -8094.140794033592, -14924.99370646081, 458.92355211800896, -10088.234817813602, -3711.8909765483113, -13477.038933828473, -10310.274994820065, -48803.97573699232, -15452.973120390961, -12086.910788121559, 8735.614630158525, -22254.755033568596, -5341.748453411594, 134.9151184122311, 27033.944090980054, 15127.04351091676, -4710.788746361395, -18660.220863834722, -3304.1026771420293, -5123.339257831685, -17207.67998162457, 9432.291627306922, 9260.190800381184, 13583.041347699182, 14564.778935518261, 15828.535692198435, 18578.73430142179, 3234.3369847428694, -9654.749835059221, 14376.015650265661, -26291.16175322233, -11033.198110370664, 2927.4173831101507, 39815.704927828454, 989.7833547005139, -19264.737797362854, -36847.60422866125, -31876.988577591634, 19216.858206075267, -4710.294595148589, 11691.966735663242, 24893.948510795424, -7333.5012545957, 12687.355717270315, 3667.4655673276866, -14173.349107175221, 3994.6642016645637, -10231.021833416504, -15005.281525073107]"
4,AR,"[4912.215373729239, 17996.481813186198, 649.4473818292608, 8130.496497248908, 22848.59690201073, 11965.996637047909, 20796.85244900454, 22195.237498540184, -6656.287334315024, 5139.853466167115, -6337.786318414066, 10086.798015588545, -570.3077853522846, -6381.636485604453, 13013.935288083616, -6490.314132653119, -7292.689426401954, 1905.3197970818437, 4276.451796663721, -16608.857261509314, 6466.257191762255, -9380.40308206786, 6335.269714000926, 7192.270318212104, 28910.144022733242, 1934.4304629123071, 8998.001308231207, 9253.279890517471, -18053.34744656406, -29168.074914107798, -29572.27699795778, 10920.044566812576, 4707.050812452231, -22348.749499801328, -12160.239178283256, -19542.892440550742, -24343.670813675286, -1601.1058802975604, 20766.059013453458, -13201.434109711816, -5934.191907451546, -27510.522599165954, 18044.64335236998, 38784.501744353736, 28931.492673527915, 20067.461736540485, -7463.216632839118, -3449.1521820211783, 4468.299958338641, 2863.8147854503186, -1422.9528857051628, 5045.501693426207, 26921.527785535553, 17645.296125864843, -9672.607562416786, -13148.666004151019, 14903.632374044275, -9184.702487724775, -17887.190327904238, 7228.899740146007, 5425.565177183307, 13742.932072956464, 9385.443864337169, -16052.469986295386, 11895.434911774442, 7361.036638004851, 15476.653789901698, -22509.56679458116, -33605.19213519641, 267.49107735674625, -5364.4621915437165, 7696.511306731161, -2787.991141180595, 22793.28101083124, 18937.92844795322, 3262.6040225078177, -31909.97224585744, 5609.605068768396, 9306.741589711877, 12714.660745190835, -1628.466765021265, 12126.970012256119, 7158.8316946831765, -23711.073077998357, -7251.308313502697, -2883.9778444426192, -9156.196972861522, -25402.24949178807, -33787.30663374596, -63670.0523593087, -3247.819427786366, 3685.425104138252, 19424.660147108232, 10688.0573193397, -2152.6083455228654, 25984.488669457583, 5591.498353728442, 20244.226980605563, 8288.238810670147, -85.93795984251483, 21884.64827706333, -23686.372184086715, 2241.5214010124037, -13288.749550870096, 20979.348559569367, -16821.226222657133, 280.547080543387, -33590.13949371723, -20263.488855958945, -29023.453846186123, 5009.218773762434, 9773.670087997321, -2834.016535330571, 45623.50055562631, 16314.476164204221, 5045.18052569218, 4483.646534365682, 14152.893167297807, -1340.3373718752773, -14620.18527840951, -6682.386164782685, -426.14718368343165, -19662.441043408326, 5469.114932921511, -12415.727634600335, -17864.576942598826, -23931.89624509205, -21795.061174314615, 22170.845745588827, -24183.022105246782, -20154.67888122549, 1888.4362289273413, 3045.988747698688, -1474.6956766748044, -13445.213069329377, 3937.4518815869233, 5824.119391690096, 21529.57357302445, -15579.428475253155, 42.81685350189218, -15722.13195214828, -7696.614992766001, 1871.0860281392233, -34485.45444715439, -15479.51650858525, 11300.650772464694, 9526.487591438752, -25566.011721648974, 7809.3377110525325, 23072.007937222545, 5268.265821253473, -18509.183910735155, -5586.613838500931, -13148.81115230621, 17438.096854941745, -7337.772589672473, -14843.68180765715, 5648.895027739811, 15020.36750633589, 19012.74690500024, 1450.862128849054, -23391.203507363505, 17715.465243247338, -2197.1636449064245, 3251.094922589371, 9812.96760530473, -275.93466670962516, 8906.901987643243, -1066.5292996549979, -18535.544537681984, -176.51225655047165, 4477.06151938095, 18587.67861774098, -7129.204351447115, -8154.9957925953495, 11674.147880876259, 17703.854650424444, 131.2125647092762, -10398.61461938722, -34207.75044923178, -15007.608033024997, 14511.20850598572, 15898.411538212153, 1060.4956167970086, -5593.5320671411755, 3112.555934104479, -23909.185989879392, 662.5768930345876, -9638.50751281681, 1786.911276951796, -10931.708721551768, 12708.230104930331, -16170.806480169536, 2829.8650137024088, -4913.875573212965, 26729.73845688467, 20398.7333501119, 21516.817567669583, 15696.708499742555, -16971.87159444386, -12122.044769888744, 545.3069452246127, 20306.293310445762, 10336.510422560008, -374.78914155180973, 1362.7890232476057, 5231.657999130781, 4215.18196051578, 4020.313945759888, -16373.757239209779, -5467.35763859158, 8387.953766362742, 2862.6123080858906, 8178.359927236059, -5685.728544505197, -17628.22722796051, 12924.702581663849, 21482.86897832081, 5267.184271167522, -1534.3063394572237, -23200.167687945253, 2692.682596303348, 451.17621793585204, 15160.68322070816, -18415.577515967656, -20686.237860449357, 7084.5015104124905, -6876.6437179861605, -14980.605683084388, 23238.930888082396, 19479.390804559545, -38892.39758160517, -1433.090499964048, -8925.404442219653, -16772.755142243754, 846.2492944555343, -15478.064122261145, 13822.051894458884, -6365.350650705019, 12775.75237135758, -14122.162640501498, -11987.460018555314, -463.7380277801385, -29400.564343415444, -28215.549990581058, -16241.952626150975, -24007.733029498093, -702.1970800225172, 188.29877624905203, -1244.4632558871526, -4673.925504544517, -19524.996697504015, -22552.62403710594, -16594.097521842457, -2668.1693031359027, -7946.167520204268, -10911.853293140477, -25529.823740358035, -32683.45843541427, -9708.110046003138, -11302.879703615487, 10082.779611761362, -27179.198373842984, 8715.388915711897, -7721.281553046196, 30740.728034569445, 14485.188314859617, 1180.381027329102, -6444.284908741218, -624.5885066071351, 5354.2742873442185, -7321.021183622379, 16310.116950655833, 10706.903378382398, 7660.901917918818, 6547.285155519086, 21315.02278862463, 20792.918743329246, 2376.270895095993, -8141.636571466224, 19200.159770839266, -16971.148811660853, -11812.88128150237, -11854.356511363178, 37906.036832975136, -6220.845732367845, -7029.826990723333, -30468.677710710486, -30230.234006347913, 22937.6385253442, -19761.46533454163, 29873.918510171585, 26964.982263120066, -15227.371803447837, 21096.584774248156, 15167.292524678145, -8923.788617536775, 3203.9822790942562, -7478.9075097783825, -9219.67577898642]"
