,theme,vector
32,전기차,"[ 1.90162585e+03 -2.43526203e+04  3.62104709e+03  1.88088583e+04
 -2.45067178e+03  5.45986283e+02  8.00229499e+03 -1.63285764e+04
 -7.15075813e+03 -7.52804374e+02  5.72927102e+03  5.22077945e+03
  1.04593704e+04  1.67918510e+04 -1.52381388e+04  4.89835973e+03
  1.40542534e+04 -5.27078912e+03  2.65718942e+04  1.19882486e+04
  9.66493031e+03  1.12034203e+04  8.31106207e+03 -1.05244680e+04
 -3.43232814e+03 -2.46498168e+03 -1.54374985e+04  9.79877698e+03
  1.36805616e+04 -1.50193924e+04 -1.58238249e+03 -8.30054534e+03
  8.85225254e+03 -4.91368685e+03  2.06759219e+03 -2.41824324e+01
  1.24086824e+04 -1.37000647e+04 -5.65197920e+02  1.48516070e+03
 -2.28263279e+04 -8.82355128e+03  1.60735950e+04 -2.22260582e+04
  7.14913505e+03  1.13320571e+04 -8.51410609e+03  3.48743525e+03
  6.44743390e+03 -1.35298950e+04  9.99181780e+03 -1.26359222e+04
  3.73204320e+03 -8.34818410e+03 -6.68292926e+03  7.03814299e+03
  7.72129231e+03 -3.09235432e+03  1.74880957e+04 -1.85602540e+04
 -9.11954035e+03 -2.10023478e+04  1.65609560e+03 -1.78671507e+03
 -6.95439676e+03  3.17793991e+04  5.75804179e+03  9.60417243e+03
  9.19145768e+03 -4.49843112e+03 -5.50799891e+03 -2.24517940e+03
  5.80114562e+03  2.23703228e+04  1.82707376e+04 -7.03773154e+03
 -3.22657408e+04  5.00150561e+03  1.42354085e+04  3.31517765e+03
 -9.40401125e+03  3.29017813e+03 -1.33159830e+04 -8.80965949e+02
  3.02742111e+03 -6.93797287e+03 -1.41443385e+04 -2.77804716e+04
 -8.26074936e+03  1.37448981e+04  1.32357900e+04 -2.03091902e+04
  3.29559237e+03  5.32676899e+03  1.37046379e+03  2.72614734e+03
  1.74487600e+04  7.45410889e+03 -8.63227438e+03  1.52345844e+04]"
33,농업,"[ -6707.79150822  -4960.29079224   3255.47350685  15759.23700385
  14095.47393666  14232.56134575  -2792.33692225 -13761.51566791
    -17.80413634   9741.06752109   8140.03516849   3245.01650018
   5282.41124272   7756.96219875  -6654.76313486   1833.40271658
   3753.86243649   -580.48155964  10304.2166567    6935.59608646
  -6780.89858965  -2869.86066772  -6309.81885683     81.20767104
  13666.84127346  -1935.46157503   3906.07097266   4181.35502191
  11909.2972114   -7867.30072102   8050.5438722    3291.21066385
   5105.53052264    905.43658085   7207.57236331  -6444.22043606
   9147.48256037  -4517.05710899   4898.81355874  10570.0652749
 -10999.17472681   3699.84196321   9575.62023132 -10503.58714319
   5616.80404286  12756.89409017  -9719.31760275    862.1964918
 -11548.22802389   -334.12217043   4483.78392403 -12548.1866727
   2816.32037715   1850.32812582    884.15615773   3290.65338703
  11297.57175252  -6288.96207903   5208.50841308 -17008.62579461
   1264.38253237 -11117.53148394  -4576.21663617  -4399.92018783
   5258.01617906   6707.43803629  -1200.90714038   4142.64706947
  10131.0921011     182.00446391   -700.71543508  -6363.49099638
  -1287.35009638   6139.42481005   8925.01263829   3535.17961121
  -2833.60910489   -600.47350849   7918.65558596  -1926.04615788
  -8012.82899148  -5652.05980422  -8493.8340635    4666.64282318
  -3484.95343999   1113.93577353 -10647.33604558 -13592.4077072
  -4429.19587805   7562.59579055   6606.40410959  -6589.01133754
   6267.43173962   2900.800344    -1774.29969242   1819.78176351
   5269.78945895   5063.02941366   1411.51736776   1707.77165808]"
34,방위산업,"[-11774.48648098 -18399.36288096  12329.96887879  19737.23904893
   9990.54829841  18972.06316338  -8949.23882909 -16359.98265983
  -9645.06870628   4588.40319221  12062.18314439   5772.17049212
  12318.42318823   5720.08234961  -5684.90889521   3641.29759018
   5962.12371554  -5845.75346143  20444.0256916    7565.67113597
  -2846.20750368   4967.81240259  -4492.39714149  -1208.27292586
   7959.0672895   -3200.56244221  -6405.35039018   5306.18553526
  16956.80529962  -7129.24535309  11352.35624628  -5187.03543981
  10100.87522718  -3712.34090042  -3914.43318695 -11522.6855862
  15618.13296031  -5012.1708957   -6500.106014     2548.28201267
 -13902.85943711  -5448.55087233   7099.14908756 -25112.99473871
   3120.70367569   8287.28551109 -16921.61031252   9423.01046841
  -5626.42830769  -6524.31923313   7823.12454678  -9386.09550013
  -1797.76057388  -2995.87848039  -2705.88985621   2148.44373902
  12596.86763412  -3633.26484041   3793.41230397 -15187.18256115
  -5142.18555347 -17578.28219715  -6201.79528971  -6383.37282421
  -1488.61176105  23161.07104997   3558.72683931  -2061.02819113
   6309.42068872  -2377.6612761   -5274.59690655   -221.31161224
   7902.85473359  10542.97533048  21399.87057673 -11234.4573092
 -23625.33259306   2266.11441897   7583.49451362   2549.10736485
  -9402.91899787    -81.0185653  -13541.43770871  14504.40689449
  -2718.37806357  -3312.00904511  -8048.08624708 -18852.63971666
  -7741.80256405  25836.38845139  14943.94405072  -8886.52926734
   4939.44401366  -2118.17640547    222.78587961   7649.5322425
   1716.06229709  11510.98262704   9710.29338212  12431.17191275]"
35,개성공단,"[-12617.4839103    -860.44388494  18513.10021036  21290.79600763
  -3234.02468627   5081.23767045  -4997.78064832  -4958.4120059
  15543.20148749  -4952.6963918    4007.97270197  15608.85701662
  -7516.67724524     70.25943913   5503.52749782 -10561.26899158
   6749.97645833 -15724.1244918    8454.16048182  10295.70042633
   4818.36544164   6231.54090606 -23221.81935012  -5013.52238157
   3887.98401464  -6095.89259462 -18024.820046    10004.4106546
  23969.75866308  -3062.23298813  -7046.0737792   10576.08970893
   1959.82596591  -2516.78813527    808.63666264  -1865.34361009
   5931.38770352  12200.816927     4761.607337    11388.07291483
 -16044.40875047  -8369.51112764   8799.27458636  -1149.95627719
  -4800.11857663  12042.56028063 -15983.51785556  -7723.15420345
 -18053.59423731   3038.98942269  -6531.20343912   1951.3189797
   7479.82642866   3527.13812354   1876.12555747  -1355.9017822
   9186.83835139  -6571.28712156  10017.46807606 -10111.87374009
   5067.58502572 -10652.46626316   7504.9135505   -3650.18435353
 -11948.4746071   17410.10778868   9389.62357052  14411.79614895
   -492.23042956  11745.44466875  -8479.26514931  -4237.54975428
  -4329.30297666   8048.6123986   10143.67881091  -6052.54383717
 -19112.28181675   3506.4358053   -8886.20222373   7070.20441274
 -12827.00603394   5157.84868805 -14596.24586242  12859.18448749
  -7938.66653266  -8728.5247346   -4308.41060382   -916.03461574
  -1857.79892283  15095.12852834  -2630.38723169  -3206.46604272
   3093.6299494  -18068.56319696   3129.5602018    -243.78225464
  -3090.96221473   5908.22298497  10534.89801564 -12908.20892969]"
36,장마,"[  1034.82543348 -11067.82394575   3332.34004566  -2757.69433478
   -854.30517453  -4385.15129351  -1274.41366551 -15653.0086068
   4118.81237449   1649.30367492   1514.83691535   3196.44773015
    624.17270034   4384.12886454  -2376.37515038     76.13884945
   -692.41784322  -4726.58661362   1273.149697      950.46962151
  -1244.83205569    499.75483018  -3962.06899664   2665.24512076
  -1473.32382254  -3739.64976489  -1177.04618606   6203.50668439
   9997.62670329  -3145.12497038   2651.05250965   2710.86813475
   8589.44810471   2537.83464145  16333.05243296   4239.20369695
  -3670.16726471   3933.54453456   7689.49559426   6650.7342161
 -13554.99906577  -7071.06337683  10552.18139771   3075.9908371
   1353.6682213    5303.09081272  -9365.40188189  -1842.08334745
   6544.30912588   6560.30824658   1812.98588143  -1177.97428747
  -1143.92202303   3682.92030289   1041.87993199   -236.33711635
   2685.19947577  -1034.38606575   5459.43976057  -9424.39373257
  -1977.87178956  -5184.62833245   3117.79252861   -223.60577453
  -4609.18035237   1273.17125704   1590.35012884   -635.96544049
   7183.71727389   -301.98191639   -519.43714746   -536.01712027
  -2884.04387274   4169.60135272   2946.88712926   -238.79428449
  -8406.07205129   5840.933591    -3655.93203468   -130.65214413
  -3637.90089421  -7564.73931317  -2398.12016197   2838.61576947
   3178.5200018   -1642.30305604  -1645.75618653  -5950.60774399
   -509.64523547   4680.37386743   3452.53950828 -11138.50335398
   6734.92168351    128.28325046  -1707.54713233  -6035.58720659
   3776.89221667  -1552.96413733  -4181.52141902 -10932.23302341]"
37,편의점,"[ -2348.95846068 -12791.90268743   3289.35270963   -630.8161941
   -933.05506853  -4746.06815726  -5623.11298288 -11848.6487479
  -1026.08582061   -119.13982006   -487.16464635   -984.00504541
  -3974.17485191   7473.75838231  -1966.60789656  16109.32702491
   -930.23920325 -13064.00067245   4657.62816215   8838.12142606
   3515.44834123   3391.76730361  -8327.86539347  -3153.79737708
   5246.53712583  -6451.64278354  -1154.98934159   3404.82785928
   4438.19597282   -826.65003501  -2173.27398785   1817.91425995
  10705.91542493  -1242.4335347   14504.88047974   5895.14164364
  -6556.66346835  11349.86448519   9273.71317559   8737.95510435
 -13965.89484174  -9010.8374035    7646.68050353   2071.84793649
  -7607.61574701    687.89378316  -7599.64819195    195.85033828
   7787.61546087   2319.1934522    5023.45009049  -2461.81101115
  -4016.48660817  -3107.16037734   2141.12216186   4553.08778421
   5298.39187064   5034.02019077   3059.21150858 -13272.47714499
  -4863.83949185  -6734.31503996   4708.95537971  -1598.24687078
 -14184.26689431   6690.51871571  -5632.78289945  -2803.76755407
  13127.23589212    635.64493442   1475.22850611  -1580.14711105
  -3255.63114257   9833.56225058   6110.15308372   1111.66048448
  -3109.23559646   -998.48294542   1559.07619762   1178.91469646
  -9766.32550913  -6211.02389277  -3445.99410759  -2030.66673267
   6841.99770812   2911.89950541 -17821.73110633  -3233.59598934
  -2884.65359639   8753.08315556    776.82321295 -11360.02483443
   2041.1154375   -7045.07754635  -2893.87237985  -1897.38044832
  11522.87519021   -975.28052859 -10834.76835607 -11496.54451679]"
38,LCC,"[-13250.55038747 -14082.24932489  16931.98843358  25179.37807351
  -8804.41218501   7109.17684131 -12177.5176518  -34598.42020028
 -21026.33206833  -8559.01117726  -6560.28769462  10428.15690591
  -5778.4596115   23172.81882233  -8991.49977795  -2554.47360681
   6976.31951941 -11500.33771664  15333.85244797  12116.50890267
   1136.3639319    6594.8589989  -21953.64989274  -8785.64900807
   7315.0515391   -3311.29722872 -12611.25687115  10408.27198146
  29801.51150488 -20572.58336298  -5284.84999125  -3181.9723202
  13256.40039153   5028.15408568   6704.46156191   6000.78794413
   7798.69941996  -1305.83996819   9067.59767371  10380.15022383
 -25917.56201587 -14386.44870516  23642.63798378 -20075.42440448
   2511.01409371   9402.07056561 -19650.14575752  -2405.46002746
 -11934.34729992  -3123.02462008  16551.83960243   1031.27613762
 -13283.80095791  -6213.37623065  -2753.1704042   21883.36786942
   7354.95018203 -11988.32236644   9046.23695466 -20318.41587186
   7057.95180589 -23099.2894846    1582.29006466 -16665.41134461
 -19198.47987705  35306.3281467   13699.66774629  -6059.94465054
  10034.74713231   3116.78431999 -13703.8977355   -3782.55771
   5000.48146645  29033.65589887  28004.07933759 -15455.27733489
 -36406.32729608  10142.46177837   4414.74914887   1454.26802527
 -22692.81208938  -8855.9635655  -11023.02245513   8810.51069744
   2320.54705753  -6615.17938429 -20939.56260148 -29207.13923229
   7015.04017398  33946.10260436  17051.09542192 -24336.84474027
  23756.49108445 -13441.51003445 -14629.24974622  -4888.52634433
  11344.98459758  18798.70210253   6709.43613491  -6310.75450026]"
39,펜벤다졸,"[-12292.55494712 -14904.39301936   7416.02380816   1095.34612786
   3909.90653017   9014.70394454   -951.29811382  -9806.77253182
   2581.54505432 -19652.75676997   -765.33387459  -1350.46860185
  17906.05574539   3352.70617426  -2921.81494327   4650.76898613
   -952.03477617   -533.75169237  21938.40376619   1364.77998969
  -1854.75484304     73.04789523    877.11185544  16795.24443933
   3395.51636359   1876.64565582  -8329.69392773   4017.75127166
  17356.63838707  -4183.11208778  -9898.99657753   2780.89536472
  23799.66109626 -10016.50758293   1008.31367837   6261.72721614
  -1672.73844537  16245.72446408   9100.03761782   3278.55407229
  -2907.43387864 -18787.79759718  24402.64110947  -1925.62002262
 -15648.41333363 -11988.14602233  -8487.62703942  -8438.82222903
   7882.49433464   3923.99422522  15820.14649473   -902.42444785
 -10277.69078716   3650.34448998  15234.06087581  -3709.29638016
   8234.90633314   2001.61651413   4087.35542572  -8730.8078372
  11672.71100756  -8965.73242315   6380.45717532  -5669.35709214
 -18941.85177382  17064.41603242  -3690.55428716    969.96657246
 -16616.09414818   -223.05917905   4124.54600812  -2205.55974561
    944.53857418  16158.52352384  19628.01742218  16620.65085587
  -4507.12663492  13310.68273555 -12912.44299763    741.35658499
 -28460.43677109 -11927.94137222   6098.22711143    169.41405181
  18407.49579613    961.69190847 -18929.82558252   1040.10912287
  -6376.26853528   -673.28907499  -1063.64834687 -19333.8093974
  -4779.15077333  -3573.91525846  -2656.75550685  11432.36220956
  10774.47423064   8831.85418838  -3249.14830851  -7077.84880001]"
40,신공항,"[  -370.46611298 -10525.08921753  12646.05539339  30873.23793965
  -1685.27179034  12821.19595905  -4130.42767547 -14530.77228008
  -1861.66731022  -1822.25007781  -1418.28904188  21369.85922602
  -1156.54856238   -579.49113839 -11590.18678336   3391.9386767
  -1910.59770295 -10079.56034841  13441.80060945   5159.80571314
  -1829.76929483  -5797.0439174  -28268.893463    -2407.86731429
   9485.26318901   3512.78250699  -8947.03233709   1039.75261988
  23617.52307597  -9399.09049089   1564.26204708   6817.59577748
  11652.11474466  -1195.20265959  10660.30028049  -9218.39718338
   1815.17197298 -12521.96462012   2561.40995555  21639.15697681
 -23497.02332842  -4368.81028868  18730.612267   -17103.65472463
   6301.4788152   16386.57749448 -21050.23762395  -6877.95895328
 -25585.19273299  -1480.56106178   5636.35541564  -1136.20706391
  -1974.66416755   3334.3178666   13220.28430435  19771.68467366
  13952.49146275  -7418.71271539  17020.84533959 -24597.92768889
   8326.24141611 -16596.750106    -5843.17690379  -6913.76520172
  -6580.5572048   15964.20456458   7160.4745773   17183.48658421
   6598.20296708   4691.41201145  -6148.78457219  -8553.60942029
  -7102.13425576  16810.78102126  21345.40071956   5730.37680609
  -1250.27516218  -1628.0911979    4850.62335453   -559.15383849
 -10746.61826218  -1714.43296294 -10305.65239218  16667.72961388
 -12231.7725654  -10229.11461953 -15686.74118823 -17268.07300351
  -6198.41149497  14523.40763727  -5008.34751634  -9882.92018116
  16733.82053077 -16023.33193895  -3448.36276316    124.670393
   -636.20151485  12693.30304643   6841.50408633  -1981.29801017]"
41,NFC,"[ -3408.22442635 -11975.90403709   6125.96071884  14671.6311376
  -4441.18417538   -737.50016223   1642.50178187  -8055.9019628
  -4099.70590331  -1676.22600109   8401.71919586  -2868.49155294
   -272.54034462   8686.52299951  -2744.92674936  17223.12194464
   4620.34263777 -12506.09891914  13639.85583183   9471.88627703
   -439.05772689   4123.96197103  -2763.15686267  -6331.77749095
   6313.02631546  -3166.20781779  -3144.6329246    1119.18698038
   5917.45848272  -3800.49119418   4739.52752651  -1471.95316157
  11182.80525598    462.68146627   7320.33502804  -1444.34980698
   1042.4950128    5081.50232242   3425.91480503   8188.59822868
 -16095.34333759   -901.88607406   5496.40278827  -4129.34689475
  -2627.25230135   8445.14050079 -12735.25283525   4554.97507404
   7253.35307826  -1083.51593682   6322.15806252  -1047.15549122
   3962.59782078  -7591.79917465  -3435.2924281    5827.04607731
  11922.55022799   4234.99796513   2900.41548913 -15195.63792214
  -2259.12351991 -11633.27221778    271.28922103  -2756.10656122
 -11293.25701868  11447.81357154  -3207.23636435  -1127.53267326
  13104.9271794   -2361.86965898  -8751.7077152   -7434.83785281
   2127.94107124  14939.43150707   4748.55207013   -473.78853601
  -9139.13641981  -1360.17488519  10033.17634393  -2656.10103196
 -10429.1763151   -7928.23942311  -1034.47409775  -5865.96670865
   9171.28143349   5233.49850579 -20945.4014633  -10307.43947504
  -3890.65185241   8629.15378605   3670.33042862 -11880.59716457
    819.51848749    419.83604254  -2714.65880138  -3230.35229098
   7147.97014271   4848.63859073   -792.13002816  -3999.88499061]"
42,줄기세포,"[-18384.49344173 -24827.56055929  -5093.67240485  14768.76701818
   6220.30283414  17109.543858      375.00266909 -12432.52865518
   2095.1249099   -8481.37975774  13765.44877503  -5548.05178452
  25209.15260498   3043.01914285 -12604.75211485  12348.23836441
  -5282.5998086    2800.68750998  34656.50356365    574.92425337
  -6165.04527029  -2709.93263675   2785.8486923    2779.12838165
  12300.52980637   3525.11264524  -4084.84129653  -3164.1116426
  19846.51440881  -7025.515351     3370.97604042  -2208.01983845
  22018.42826042 -14623.81758884   -633.87192529  -1860.31248464
   6073.67391753  12799.51883844   -729.12235598  10197.43189215
  -3711.21380483  -4539.66383199  21203.59274487  -9772.50916228
 -16604.59969489  -1372.17857175 -18364.85884071   3136.67587625
  15008.35097733  -3008.15812804   7727.92605737  -1116.73896084
 -12083.12137409   -812.92297832   6670.82995358 -18234.94414487
   5003.59976812    936.5258349     349.05451179 -18749.49962255
  16012.44671154 -11917.73932544  -8645.56068368   1014.68200945
  -9520.46391496  14672.31221913   3126.00082819   5000.33045481
 -16806.45946545  -9851.86907941   7636.08892499  -9882.84818813
  -3599.44431586  24804.95819206  19152.59576434  17235.90133121
 -11291.6089585   19391.17486097  -3277.79825272  -7973.26985681
 -17426.15775471  -9099.36544974  16526.53058811  10376.45237561
  16564.40798327   3411.22369402 -15556.89494979 -14663.13762931
  -4396.88914732  -3301.79006097  13975.04645441 -14656.66377408
 -10832.15800979   4208.59775065  -3215.57078266  15906.38234787
   7449.66663763  22759.8451239    4343.31890494  -6605.78194872]"
43,엔터테인먼트,"[ -2163.51021844  -8934.95442855   5888.50975492   7928.71140387
   8153.85702634   1688.19618766   2813.31908153  -6072.83920698
  -4151.03044006    525.21350112   3239.75543265    996.68877422
   2211.2788487    3371.35609996  -5006.99760332   6601.53311342
   4006.22148341  -1287.53314874  10896.80280498  11491.54670622
  -6321.57087032   9213.16707138   -773.37635133   -680.68527124
   9668.03373183   1074.74745591  -7117.24099952   8160.53979763
  -1695.4471539   -2979.67364909   5205.99219985  -2112.75951425
   1789.0625569    -975.4010074    2531.81278686  -4200.36957724
    303.71955909   4907.49364662  -1468.80493568   1152.0515074
  -7075.84237329  -1404.60412062   7678.73334303  -9713.90057427
    802.2252325   -2669.38485474   3093.96729418  -1365.05095769
   -900.43428007    314.6767866     601.99881632  -8236.10428246
   6060.23115419  -7295.69307977  -6539.51037263   5214.78732662
   7600.17959808   3216.7116265    4733.24095185  -9588.81963056
    519.48560418  -9765.39907495   3067.57067592   1371.28778598
  -8336.19734928  22288.23578989  -5072.94516756   2210.98152633
   7556.6109661   -3345.47037742   3516.81368673  -8268.07839444
   2386.47707902  10940.0196929    6081.48524332  -6274.10264897
  -9189.26241382  -3857.3713164    9859.91213089   4787.8681072
 -12226.93971498   2301.60168718  -1863.52777779  -4488.85028765
   2421.88245469   7166.16154972  -8381.07716681  -7096.69644535
  -6075.05648631  10943.63326928   1063.90233073  -8540.23434217
  -3040.85852674   6294.8587615    2186.42899049   1849.84077214
    951.44744721   9607.64835984   -587.06107602   4917.58932576]"
44,면역항암제,"[-16326.27311919 -28711.83886245  -2684.97304861  13249.11885359
   3122.44420471  17547.71483897    373.2786197  -13823.33588366
  -3228.86777807 -16488.88282036   9855.47158515  -5895.23394128
  30700.6016494    1929.13940801 -11947.10257871   6965.73035835
   2546.79934466   6114.2274098   38313.43177209   -878.9090804
  -4899.76247923  -2228.25124268   1460.24522034   6908.55019531
   7873.30347089   9126.13772743 -10770.29380775  -2326.88328511
  17396.97001741  -8884.47430802  -6378.4359966   -5628.51074365
  21062.49527645 -11003.85449849  -4169.8145879   -2255.20804176
   5288.17639781   4372.17359818    341.37559395   7530.82808562
  -2070.86140466  -4318.73226497  29145.33641718  -8938.59660728
 -12899.21621734  -1468.08917861 -16657.24667113   1605.39279113
  13617.90486303   -924.94793486  12300.10478051    948.08652617
 -10458.90554666  -1460.43679102  12280.24764234 -16932.52622064
   2025.94510227    855.96122075   2556.15635671 -26629.15607454
  17412.91131628 -10908.7879997   -8591.05453224   3166.80120404
 -14359.70770085  25026.09814953   1366.39062034    797.40824516
 -23553.16828329  -5483.95935758   3355.19183359  -8889.85656133
  -1841.94223862  25256.223448    23421.59595953  18205.56381053
 -18497.95987653  14158.17509536  -2890.89983516 -10308.00491202
 -25266.85167512 -11218.42177409  22938.10179579   4487.56748562
  14020.550677     2209.91646502 -19493.64376642 -17497.40754124
  -4066.21868531  -5216.9636461   12030.70742597 -21090.93770549
 -13989.99335495   6082.93010784  -1995.21629003  13080.4209076
  11584.09766468  26684.11467288   5954.55170686   1098.16548884]"
45,평화공원,"[  1736.3992596   -6587.03608563   2802.26666317  15459.9918866
  10014.19392847   9913.8621518     814.43712152  -5721.1913592
   7652.61014276   5763.18117292   6319.24605778  12671.06617498
  -5655.10129873  -3324.09429415  -2118.49901811    769.33113395
  -3146.47591178   -730.78088937  -5241.53362514   6559.84802826
  -5650.60695732  -4289.12926022 -17212.59236108   4574.58775403
   8679.35939888    664.7081621   -5623.79609052   5131.61095843
   9980.41022659  -8437.87921954   6957.01086033   9768.57943031
   5618.64749355  -7180.19604726  13763.56972227  -4636.48280061
   3067.52158854   5347.37483122   8423.69159516  15445.12654404
 -18438.00285738  -6066.35263534   8368.4504459  -10832.56569447
   4248.37945788   7192.22902467  -5084.58785428 -13318.63986194
 -15468.72193387   9641.08249061  -5812.48521825  -1431.51756664
   6406.49686476  -2669.62589129  -7006.74879793   1356.47402804
  11531.18273893  -6510.91221665   6234.59019643 -13226.43251364
   4497.22936624  -3492.94185407   3195.1202796   -3750.54540627
  -6070.78342772  -1018.42821858   5130.23225948  13749.14409096
  11985.69292921   5614.80884597   2003.59482564 -10503.83923337
  -4912.08157485   8912.94773745  11292.24109537   1220.01317296
  -4814.64499979    -20.67000503   6931.84707863   3778.42397627
  -6498.3486663   -2358.1687256  -12198.81089831   9183.33176753
  -7707.61633737  -4710.97606719  -3368.46237931  -1951.96048517
  -5281.49145222   3558.36186141  -2951.05406639  -3494.66186034
   7958.71824887  -3266.14608342    -61.76727296  -5166.1067357
  -2989.35523829   8969.05568744   3592.86513099 -11778.24275463]"
46,창투사,"[-32530.56773001 -18766.60161484  13336.35450327  40381.08677612
  19637.62313115  25162.24869545 -15455.14766059 -39602.74844141
 -18086.05368359   2509.8016629   17287.88923621   3541.127819
   7988.41157318   4578.67372887 -17552.16310956  20911.11826427
   6293.20192065  -4992.4609894   40855.42572015  18279.8210432
  -8094.10877108   8191.97534718 -12243.74024219 -20162.4201452
  20065.57263162  -5557.43326906 -17961.95236587  10438.34771224
  27879.45514405 -23057.82283204   9903.92425666   3672.91441735
  16742.18462665   4785.99217111  -8459.00295148 -19003.84091439
  23942.06806736  -1678.39691048  -7419.6243916    6238.06185113
 -28714.32540755   5524.01340108   8213.99752652 -38974.19930515
  -8693.79813909   5648.73515309 -32332.51410527  11122.17474343
 -13986.13465963 -10141.57353547   8511.69455994 -25884.16832209
  -3993.99261427 -13144.58970175  -5771.69328401  21115.32763729
  26058.50447509  -1893.11887219   6942.49412751 -29606.18923612
  10433.73083194 -27555.77854147   8122.91422229 -15108.1513089
 -25852.55797788  51867.72833714  12209.51785574  -5686.56265267
   8543.610483   -17268.8000709   10560.54350786 -12123.04037377
   4861.5588268   31857.96353608  37995.03801538 -10171.2929164
 -28955.43452352  -3479.98177827  24578.62125096   9456.77503785
 -38915.64333758  -5481.61703955  -6261.56420232   8583.22053018
  13515.85938435  14569.39763718 -33146.07230466 -30771.23309734
  -6278.10131696  45686.38781235  33671.46913244  -5315.97960707
  18133.30032029  -5394.07533518 -12864.18511527   9750.51830488
   4124.17444522  23244.08504398   4234.58282143  26958.51589919]"
47,면역세포치료제,"[-1.89760166e+04 -3.37228576e+04 -6.01582150e+03  2.39377728e+04
  8.62205902e+03  2.67810473e+04  1.60337555e+03 -1.57461555e+04
 -3.08725667e+03 -1.43371503e+04  1.20785306e+04 -5.21953496e+03
  3.72936716e+04  6.33265195e+03 -1.47642042e+04  1.00043584e+04
 -1.91414449e+03  8.04414624e+03  4.51558930e+04  5.44302535e+03
 -5.63777149e+03 -4.12589880e+03  6.48426806e+02  7.04802978e+03
  1.07857201e+04  1.00399459e+04 -1.33544695e+04  4.91803367e+02
  2.95660691e+04 -1.39098309e+04 -3.90291743e+03 -5.62603718e+03
  2.70033417e+04 -1.35099370e+04 -5.04640769e+03 -9.75932577e+02
  1.12810141e+04  6.24826647e+03  5.81013823e+02  1.13338640e+04
 -5.29016805e+03 -1.51057164e+03  2.93392845e+04 -1.53557980e+04
 -1.60075676e+04  6.02042154e+03 -2.33265180e+04  2.49682440e+03
  9.85823668e+03  4.35449246e+02  1.04882709e+04  4.82049153e+03
 -1.04471488e+04 -2.88516888e+03  1.09987555e+04 -1.83691893e+04
 -3.70566494e+02 -4.11971195e+02 -3.17776510e+03 -3.05663719e+04
  1.94959535e+04 -1.99954611e+04 -1.94328520e+04  1.08013763e+03
 -1.28438138e+04  2.55313003e+04  6.46294452e+03 -2.71054162e+03
 -2.63568918e+04 -5.43316165e+03  7.74083049e+03 -1.20586505e+04
 -1.63383718e+03  3.63524111e+04  3.68107396e+04  1.93876000e+04
 -1.96343522e+04  1.93541219e+04  9.26828094e+00 -1.41182264e+04
 -2.81272169e+04 -1.22201466e+04  2.77133273e+04  1.24153565e+04
  1.77334874e+04  6.37276479e+03 -2.29031435e+04 -2.04820185e+04
 -3.33984522e+03 -1.19970249e+03  2.10172267e+04 -2.35811674e+04
 -1.61009209e+04  9.10485865e+03 -5.66403587e+03  1.81626337e+04
  1.35411653e+04  3.75158889e+04  1.43782721e+04  6.45207881e+03]"
48,VR,"[ -1789.28342643 -14049.85667184   5838.39429304  12599.48981617
   4953.70114405   4456.81099973   6435.65290544  -7893.02264872
  -1248.37158181   2557.40660413  10293.48269418    707.42500964
   2986.58809106   4976.94683308  -3082.5197446   14936.605031
    -22.45982594  -5073.35189923  11769.98184145   9599.80031695
  -9896.37642399   9477.66766577     62.9243683    -624.22202766
  10803.57082262  -5659.42833067  -3304.11113578   3784.0199871
   1505.32659815  -1845.74273306   8887.73988299  -2786.5952126
   7468.6961058   -3201.17904563   9667.98101102  -1069.85665166
    -93.36700616   5104.91572914   -560.5609899    8523.21249399
  -9960.28054603  -3859.77748768   5329.02989055  -8548.74989651
   3261.88817809   -499.39577159  -3949.87653963   2253.50246216
   4356.68995151    478.52830231  -1144.34582991  -6822.40816555
   5952.79388927 -10991.09586413  -3585.54016052   4774.28631243
  11802.01587949   7116.35800077   3822.7193138  -14240.17689968
  -2842.17527479 -13224.8032758   -3769.37840738   1433.11744589
  -9312.29140517  21367.34319702  -7463.61108259  -1683.64221533
  10050.33925953  -6283.19779343   1639.99193773 -12934.71523422
   3399.36860106  12280.7905345    6691.76581423  -2407.99217616
  -5917.38459379  -2386.06420003  10798.07937906   3581.01718236
 -10263.85115365   1339.33915705   -944.08882428  -6112.98772483
   5329.51298225   3711.62990104 -13922.62318693  -9521.19912078
  -6732.85164612   7845.28292098   2874.02620902 -11652.73763989
  -4331.70708985   7960.3393499    1989.91411108   3228.12560057
   5545.03054076   8220.6759398    -502.41387749  -1203.73998647]"
