,title,contents
0,안철수 정계 복귀 선언에…안랩 등 관련주 강세,"안철수 전 바른미래당 대표가 정계 복귀를 선언하면서 관련주들이 강세를 보이고 있다. 이른바 ‘안철수 관련주’에는 써니전자, 안랩, 다믈멀티미디어 등이 꼽힌다. 2일 오전 10시 45분 기준 써니전자는 전 거래일..."
1,"[특징주] ""국산화 성과""…불화수소 등 소부장 관련주 강세",일본의 수출 규제가 시작된 지 반년을 맞아 국내 기업의 소재·부품·장비('소부장') 자립화가 어느 정도 성과를 냈다는 정부 발표에 소부장 관련주들이 3일 장 초반 강세를 보이고 있다. 이날 오전 9시 25분 현재...
2,"안철수 정치 복귀 선언, 관련주 급등세","2일 첫 개장한 주식시장에선 안랩, 써니전자 등 관련 주가도 급등하고 있다. 안 전 대표는 2일 자신의... 또 임원이 안랩 출신이라는 이유로 ‘안철수 관련주’로 분류되는 써니전자는 전 거래일 대비 23.38% 오른 4750원에..."
3,안철수 관련주 안랩 써니전자 동반 급등세,안철수 관련주가 상승세를 보이고 있다. 2일 오후 3시 10분 현재 안랩은 전 거래일 대비 22.6% 오른 8만 300원에 거래되고 있다. 장 마감까지 상승세가 이어질 것으로 보인다. 안철수 관련주로 분류되는 써니전자 또한 전...
4,"[특징주] '안철수 관련주' 써니전자, 전일比 12.8%↑…안랩은 하락","그동안 써니전자는 전직 임원이 안랩 출신이라는 이유로 '안철수 관련주'로 분류됐다. 안 전 대표는 2일 자신의 페이스북에 ""정치를 다시 시작하는 것이 옳은 것인지에 대해 깊이 생각했다""며 ""우리 국민께서 저를..."
5,"[TF특징주] 라온피플, AI 관련주 시장 성장 기대감에 '급등'","라온피플, 인공지능 시장 성장에 대한 기대감 영향 라온피플이 급등 중이다. 인공지능 시장 성장 기대감에 영향을 받은 것으로 풀이된다. 3일 오전 11시 44분 현재 코스닥 시장에서 라온피플은 전 거래일보다 15.71..."
6,[특징주] 반도체 업황 회복 기대…관련주 동반 강세,"반도체 업황 회복에 따른 실적 개선 기대감에 관련주가 동반 강세다. 3일 오전 9시 50분 현재 SK하이닉스는 전 거래일과 비교해 2,400원(2.53%) 오른 9만7,100원에 거래 중이다. 장 초반 9만7,900원까지 올라 장중 역대..."
7,美 애플 연일 급등…애플 국내 관련株도 '들썩',국내 관련주에 관심을 가져볼 때라는 조언이 나온다. 미국 나스닥시장에서 애플은 2일(현지시간) 6.... “직접 투자 위험을 감수하기보다 실적 개선 전망이 뚜렷한 국내 관련주를 찾아보라”는 조언이...
8,안철수 정계복귀 선언하자…관련주 급등,"바른미래당 안철수 전 의원이 1년여간의 해외 체류 생활을 마무리하고 국내 정계 복귀를 2일 선언했다. 안 전 의원은 이날 오전 페이스북에 올린 글을 통해 “이제 돌아가서 어떻게 정치를 바꾸어야 할지, 어떻게..."
9,"써니전자 등 안철수 관련주, 여의도 行 소식에 그래프 위로 향할 듯",이에 관련주로 묶인 써니전자 등으로 시선이 집중되고 있다. 2일 안철수 전 대표는 자신의 소셜 네트워크... 이 같은 선언과 맞물려 그와 얽힌 관련주도 주목받고 있는 모습이다. 특히 새해 첫 주식 개장인 이날 써니전자에...
10,[특징주] 안철수 복귀 선언에 관련주 요동,안철수 바른미래당 전 의원이 정계 복귀를 선언한 가운데 안랩(053800) 등 안철수 테마주들이 장 초반 급등하고 있다. 안 전 대표의 정계 복귀 선언 이후 2일 오전 10시 46분 현재 코스닥시장에서 안랩은 전 거래일보다...
11,"안철수 관련주, 정계 복귀 신호탄으로 관심...안랩·에스넷·써니전자 등","안철수 관련주, 정계 복귀 신호탄으로 관심...안랩·에스넷·써니전자 등 안철수 관련주가 안철수 정계 복귀 선언에 맞춰 큰 관심을 받고있다. 안 전 대표는 2일 페이스북을 통해 ""정치를 다시 시작하는 것이 옳은 것인지에..."
12,"[5스타 내일 장 투자전략] 코스피, 상승 예상…5G 관련주 기대감↑","◇ 오늘장 마감상황 - 코스피, 하락 전환 후 내림세 지속 - 코스닥, 상승 전환 후 오름세 지속 - 코스피·코스닥, 개인 매수/외국인·기관 매도 ◇ 오늘장 특징업종 : 5G 관련주 - 5G 관련주 기관 연속 순매수, 조정 후..."
13,[시세포착] 폴더블폰 대중화 '성큼'…주목할 관련주!,"▶ 전화연결 : 김영재 / 유진투자증권 명동지점 부장 * 상승세 이어갈 폴더블폰 관련주! 서진시스템 - 주요... 9배…5G 관련주 중 저평가 - 기술적 우상향 추세…외인·기관 동시 순매수 지속 - 목표가 41,000원 / 손절가 27..."
14,[5스타 오후 장 투자전략] 안철수 정계 복귀 선언…관련주 투자 전략은?,"◇ 오늘장 특징업종 : 안철수 관련주 - 안철수 전의원, 정계 복귀 선언…관련주 강세 (오픈베이스·안랩·써니전자·다믈멀티미디어 등) - 변동성 ↑, 철저한 리스크 관리 필요 ◇ 오후장 투자전략 - 트럼프, 15일 무역..."
15,[출근길] 안철수 귀환… 써니전자 등 관련주 '급등',"안철수 전 바른미래당 대표가 2일 정치 일선 복귀를 선언하면서 안 전 대표 관련주인 써니전자와 안랩이... 여전히 '안철수 관련주'로 묶여있다. 안철수 전 대표는 이날 자신의 페이스북을 통해 ""정치를 다시 시작하는..."
16,"국영지앤엠, 이낙연 관련주로 전환?…전날 21% 급등 이어 또 다시 급등","점이 진영 전 장관(서울대, 워싱턴주립대)와 같다는 점에서 진영 관련주로 부각된 바 있다. 그렇지만 최근 이낙연 총리도 서울대 법학대를 졸업하고 동아일보 기자로 재직한 바 있어 이낙연 관련주로 불리고 있다"
17,"제일바이오·파루, 백신 관련주 급등…특히 파루 10%대 급등",백신 관련주인 제일바이오와 파루가 급등 중이다. 제일바이오는 3일 오후 3시25분 현재 전 거래일보다 8.12%(560원) 상승한 7460원에 거래되고 있다. 제일바이오는 오후 2시께부터 상승폭이 더 커지면서 급등...
18,"'불화수소 관련주' 솔브레인, 다시 고점 가나… 고순도 불산 생산",반도체·디스플레이에 사용되는 화학재료 제조기업인 솔브레인이 고순도 불산 대량생산 능력을 확보했다는 소식에 급등세다. 최근엔 2019년 매출액 전망이 1조원을 넘어설 것으로 예상되면서 주가가 상승...
19,"서원‧남선알미늄, 이낙연 관련주 모두 상승…특히 남선알미늄 5거래일 연속 ...",이낙연 관련주인 서원과 남선알미늄이 소폭 상승세다. 남선알미늄은 3일 코스닥 시장에서 오전 9시28분 현재 전 거래일보다 0.15%(5원) 상승한 3340원에 거래되고 있다. 남선알미늄은 26일부터 2일까지 4거래일...
20,"[특징주] 웅진, 코웨이 매각 확정 소식에 관련주 급등세","넷마블이 웅진코웨이 인수를 확정했다는 소식에 웅진 계열사들이 급등세다. 웅진은 30일 오전 9시23분 현재 전 거래일 대비 21.24%(275원) 오른 1,570원에 거래되고 있다. 웅진씽크빅과 웅진코웨이는 각각 전..."
21,"[특징주] 팍스넷·한류AI센터, 이낙연 관련주도 안철수 소식에 강세(종합)",'이낙연 관련주' 팍스넷과 한류AI센터가 안철수 복귀 선언 소식에 2일 상승세로 장을 마감했다. 이날... 팍스넷은 전하진 회사고문이 이낙연 총리와 인맥이 있는 것으로 알려지며 이낙연 관련주로 분류된데 더해...
22,"[특징주] 라온피플·네패스, AI 관련주 시장 성장 기대감에 상승세",인공지능 관련주들이 새해 시장 성장에 대한 기대감에 3일 장 중 상승세다. 이날 오전 10시 41분 코스닥시장에서 라온피플은 전 거래일 대비 17.21% 오른 2만3500원에 거래 중이다. 또 같은 시각 네패스는 전 거래일...
23,"파미셀·프로스테믹스, 첨생법 관련주 지지부진…특히 프로스테믹스 1% 낙폭","첨생법 관련주인 파미셀, 프로스테믹스의 주가가 지지부진하다. 파미셀은 3일 오전 10시6분 현재 코스피 시장에서 전 거래일과 동일한 8660원에 거래되고 있다. 파미셀은 27일을 제외하고 23일부터 30일까지 2..."
24,"국일제지·상보, 그래핀 관련주 모두 하락세로…특히 상보 상승 제동 걸리나",그래핀 관련주인 국일제지와 상보가 하락세다. 국일제지는 3일 코스닥 시장에서 오전 10시 현재 전 거래일보다 0.32%(20원) 하락한 6170원에 거래되고 있다. 국일제지는 27일을 제외하고 26일부터 2일까지 2~7%의...
25,"쏠리드·케이엠더블유, 5G 관련주 갑작스런 급등…특히 케이엠더블유 10% 급등",5G 관련주로 불리는 케이엠더블유와 쏠리드가 급등 중이다. 쏠리드는 2일 코스닥 시장에서 오전 11시8분... 케이엠더블유는 장 초반부터 가파른 상승세다. 케이엠더블유는 5G 장비 관련 주식으로 꼽히고 있다.
26,"[日 수출 규제 관련주(국산화 등) 테마종목 종가] 에스앤에스텍,램테크놀러지...","1월 3일 금요일 日 수출 규제 관련주(국산화 등) 테마주 종가를 알아본다. 이 날 日 수출 규제 관련주(국산화 등)주를 견인한 것은 에스앤에스텍 종목이다. 에스앤에스텍은 주당 14,000원의 거래가격으로 전일대비+9.80..."
27,"[치매 관련주 테마 마감시황] 진양제약,씨티씨바이오 등이 상승세 주도","1월 3일 금요일 치매 관련주 테마주 종가를 알아본다. 이 날 치매 관련주주를 견인한 것은 진양제약 종목이다. 진양제약은 주당 5,300원의 거래가격으로 전일대비+17.91%의 등락률을 기록 치매 관련주테마주를 주도한..."
28,"SDN‧이월드, 이낙연 관련주 희비 엇갈려…특히 이월드 6거래일만에 상승 제동...",이낙연 관련주인 SDN과 이월드의 희비가 엇갈리고 있다. 이월드는 3일 코스닥 시장에서 오전 9시34분 현재... SDN은 이낙연 전 국무총리와 광주제일고 동문이 회사 임원으로 재직 중이라는 이유로 이낙연 관련주로...
29,"씨티씨바이오, 마감 앞두고 갑작스런 15% 급등…백신 관련주 주목받나",씨티씨바이오가 급등 중이다. 씨티씨바이오는 3일 코스닥 시장에서 오후 3시8분 현재 전 거래일보다 14.72%(910원) 상승한 7090원에 거래되고 있다. 씨티씨바이오는 하락세를 보이다 마감을 앞두고 갑자기 가파른...
30,"수산중공업‧알루코, 정세균 관련주 희비 엇갈려…수산중공업 상승 제동 걸리...",정세균 관련주로 불리는 수산중공업과 알루코의 희비가 엇갈리고 있다. 수산중공업은 3일 코스닥 시장에서 오전 10시22분 현재 전 거래일보다 1.56%(40원) 하락한 2520원에 거래되고 있다. 수산중공업은 26일과 27일...
31,안철수 관련주 안랩 6% 급락 반해 이낙연 관련주 남선알미늄 소폭 상승…안랩...,안철수 관련주로 불리고 있는 안랩이 급락 중인데 반해 이낙연 관련주 남선알미늄이 소폭 상승세다. 안랩은 3일 코스닥 시장에서 오후 2시53분 현재 전 거래일보다 6.17%(5000원) 하락한 7만6000원에 거래되고 있다....
32,"일진다이아·이엠코리아, 수소차 관련주 모두 하락세…5거래일만에 상승 멈추...",수소차 관련주인 이엠코리아와 일진다이아가 모두 하락세다. 이엠코리아는 3일 코스닥 시장에서 오전 10시13분 현재 전 거래일보다 1.03%(45원) 하락한 4345원에 거래되고 있다. 이엠코리아는 26일부터 2일까지...
33,"쏠리드·케이엠더블유, 5G 관련주 희비 엇갈려…특히 쏠리드 상승 제동 걸리나",5G 관련주로 불리는 케이엠더블유와 쏠리드의 희비가 엇갈리고 있다. 쏠리드는 3일 코스닥 시장에서... 특히 2일 12.13%의 상승폭으로 급등 마감했다. 케이엠더블유는 5G 장비 관련 주식으로 꼽히고 있다.
34,"[특징주] 휴맥스홀딩스, 안철수 관련주로 부각되며 상승세",전자장비 개발 제조판매업체 휴맥스홀딩스가 안철수 관련주로 주목되며 2일 장 초반 상승세다. 이날 오전... 휴맥스홀딩스는 변대규 회장이 안철수 전 의원과 인맥이 있다는 사실이 부각되며 안철수 관련주로...
35,"[돈 잘버는 증권맨에게 듣는다] 5G관련주, 글로벌 매출 상승 기대감에 일제히...","새해 첫 날부터 시동 건 5G관련주… 대응법은? Q. '1월 효과' 기대감 속 투자 전략은? ※ 생방송 는 매일 오전 9시 50분 ~ 10시 50분에 방송되며 머니투데이방송 홈페이지(http://mtn.co.kr)와 케이블TV, 유튜브를 통해..."
36,[시세포착] 성장세 부각되는 의료기기 관련주!,개장 직전 꼭 주목해야 할 이 종목! 시세를 꿰뚫어 보는 눈! 종목 발굴의 1인자의 선택! ▶ 전화연결 : 장대진 / 유진투자증권 압구정지점 부장 * 뷰티렌즈 성장세 유효! 인터로조 - 콘택트렌즈 제조 및 판매업체...
37,"국영지앤엠, 이제 이낙연 관련주로?…갑작스런 11% 급등에 2100원선 돌파","점이 진영 전 장관(서울대, 워싱턴주립대)와 같다는 점에서 진영 관련주로 부각된 바 있다. 그렇지만 최근 이낙연 총리도 서울대 법학대를 졸업하고 동아일보 기자로 재직한 바 있어 이낙연 관련주로 불리고 있다"
38,안철수 관련주 희비 엇갈리는데 반해 이낙연 관련주 상승…특히 써니전자 유일...,안철수 관련주로 불리고 있는 안랩과 써니전자의 희비가 엇갈리는데 반해 이낙연 관련주는 상승세다. 안랩은 3일 코스닥 시장에서 오전 9시18분 현재 전 거래일보다 0.37%(300원) 하락한 8만700원에 거래되고 있다....
39,"케이엠더블유·에프알텍, 5G 관련주 모두 상승…특히 케이엠더블유 급등 이후...",5G 관련주인 에프알텍과 케이엠더블유가 소폭 상승세다. 에프알텍은 3일 코스닥 시장에서 오전 9시30분... 특히 2일 12.13%의 상승폭으로 급등 마감했다. 케이엠더블유는 5G 장비 관련 주식으로 꼽히고 있다.
40,"주연테크‧서원, 이낙연 관련주 상승세지만 흐름 전혀 달라…특히 서원 갑작스...",이낙연 관련주로 불리는 주연테크와 서원이 상승세다. 특히 서원이 급등 중이다. 주연테크는 3일 코스닥 시장에서 오전 9시8분 현재 전 거래일 대비 14.75%(126원) 상승한 980원에 거래되고 있다. 주연테크는 24일을...
41,"[특징주] 이낙연 관련주, 안철수 소식에 동반 상승 '정치주 관심 집중'",안철수 전 의원의 복귀가 전해지며 정치계 관련주들이 들썩이는 가운데 이낙연 관련주들도 2일 상승세다. 이날 오후 1시 26분 코스피시장에서 주연테크는 전 거래일 대비 6.53% 오른 848원에 거래 중이다. 또 같은시간...
42,이낙연 관련주 티케이케미칼·남선알미늄 4거래일 연속 상승 이후 희비 엇갈려...,이낙연 관련주로 불리고 있는 남선알미늄과 티케이케미칼이 4거래일 연속 상승세 이후 희비가 엇갈리고... SM그룹 삼환기업의 이계연 대표이사가 이낙연 총리의 친동생이라는 이유로 이낙연 관련주로 불리고 있다.
43,"주연테크·써니전자, 이낙연·안철수 정치인 관련주 모두 급등…특히 써니전자...",주연테크와 써니전자가 급등 중이다. 주연테크는 3일 코스닥 시장에서 오전 9시23분 현재 전 거래일보다 13.47%(115원) 상승한 969원에 거래되고 있다. 현재 주연테크는 투자자 사이에서 '이낙연 테마주'로 불리우고 있다....
44,"일진다이아·이엠코리아, 수소차 관련주 희비 엇갈려…일진다이아 4거래일만에...",수소차 관련주인 이엠코리아와 일진다이아의 희비가 엇갈리고 있다. 이엠코리아는 2일 코스닥 시장에서 오전 11시39분 현재 전 거래일보다 0.69%(30원) 상승한 4360원에 거래되고 있다. 이엠코리아는 26일부터...
