,title,contents
0,"주인 바뀌는 아시아나, 관련주 '요동'",아시아나항공의 주인이 바뀔 예정인 가운데 예비입찰일(3일)을 기점으로 관련주가 요동치고 있다. 이날 예비입찰 기대감에 오전 내 상승 출발했던 아시아나항공 관련주는 오후 들어 하락 반전하면서 일제히...
1,[특징주] 아시아나항공 예비입찰 마감 앞두고 관련주 강세,"아시아나항공 매각을 위한 예비입찰 마감일인 3일 관련 종목들이 장 초반 강세다. 이날 오전 9시 6분 현재 금호산업우는 전날보다 12.07% 뛰어오른 6만1천300원에 거래됐다. 같은 시간 아시아나항공(6.03%), 에어부산(4.93..."
2,"[금 관련주 테마주-마감] KODEX 은선물(H),고려아연 등이 주도...","9월 4일 수요일 금 관련주 테마주 종가를 알아본다. 이 날 금 관련주주를 견인한 것은 KODEX 은선물(H) 종목이다. KODEX 은선물(H)은 주당 4,310원의 거래가격으로 전일대비+4.23%의 등락률을 기록 금..."
3,"[LBS관련주 테마 마감 시황] 상승률 상위 종목, 이루온 +8.75%·한양디지텍 +...","LBS관련주 테마 종가 상승률 상위 종목4일 LBS관련주 테마의 종목들 중 에서 이루온, 한양디지텍, 파트론 등이 높은 상승률을 보였다. 가장 많이 상승한 이루온의 종가는 1,430이다. 전 거래일과 비교해 +8.75% 상승한..."
4,李 총리 “AI 등 분야에 1.7조원 규모 투자” 발표에 관련주 ‘급등’,"이낙연 국무총리가 오는 10월 정부의 인공지능(AI) 국가전략을 발표한다는 소식에 AI 관련주가 일제히... 이에 관련주로 꼽히는 에이디칩스, 한류AI센터, 오픈베이스 등이 급등세를 타고 있다. 9월 4일 오후 1시 39분..."
5,GS·SK 등 불참에 김빠진 아시아나항공 인수전…관련주 `와르르`,'승자의 저주' 우려에 HDC현대산업개발 등도 급락 아시아나항공 인수 유력 후보군으로 거론됐던 주요 그룹들이 예비입찰에 불참하면서 금호산업 그룹주가 일제히 하락 반전했다. 예비입찰에 이름을 써낸 기업들도...
6,아프리카돼지열병 영향에 돈육값 급등 시간 문제…관련주 上,［메디컬투데이 김동주 기자］ 아프리카돼지열병(ASF) 영향으로 돼지고기 가격이 치솟을 것이라는 전망에 관련주가 상승세다. 2일 오전 11시 14분 현재 윙입푸드는 전 거래일 보다 13.65% 오른 2415원에 거래되고 있다....
7,"쏠리드·케이엠더블유, 5G 관련주 상승에 급등까지…특히 쏠리드 6%대 상승",5G 관련주로 불리는 쏠리드가 급등 중인 가운데 케이엠더블유 역시 상승세다. 쏠리드는 4일 코스닥... 쏠리드는 5G 인빌딩 중계기를 보유하고 있고 케이엠더블유는 5G 장비 관련 주식으로 꼽히고 있다.
8,돼지고기 공급부족 우려로 양돈 관련주 강세,［메디컬투데이 이경호 기자］ 최근 아프리카돼지열병 여파로 중국 돼지고기 가격이 폭등하자 양돈업계 상장주가 강세다. 4일 우리손에프앤지는 전거래일 대비 1.41% 상승한 2525원에 장을 마감했다....
9,입시 관련주 급등...문 대통령 대입제도 발언 영향,문재인 대통령이 대학입학 전형 제도의 재검토를 언급하자 입시 관련 업체들의 주가가 2일 장 초반 급등세다. 이날 오전 10시 현재 주식시장에서 메가스터디의 계열사인 메가엠디는 전 거래일 대비 가격제한폭(29.97...
10,"링크제니시스, AI관련주 갑작스런 7%대 급등…반등 시작?",링크제니시스가 급등 중이다. 링크제니시스는 4일 코스닥 시장에서 오전 10시42분 현재 전 거래일보다 7.66%(620원) 상승한 8710원에 거래되고 있다. 링크제니시스는 오전 10시 이후부터 가파른 상승세다. 링크제니시스는...
11,"쏠리드·케이엠더블유, 5G 관련주 상승에 급등까지…특히 쏠리드 6%대 상승",5G 관련주로 불리는 쏠리드가 급등 중인 가운데 케이엠더블유 역시 상승세다. 쏠리드는 4일 코스닥... 쏠리드는 5G 인빌딩 중계기를 보유하고 있고 케이엠더블유는 5G 장비 관련 주식으로 꼽히고 있다.
12,"[금 관련주 테마주-마감] KODEX 은선물(H),고려아연 등이 주도...","9월 4일 수요일 금 관련주 테마주 종가를 알아본다. 이 날 금 관련주주를 견인한 것은 KODEX 은선물(H) 종목이다. KODEX 은선물(H)은 주당 4,310원의 거래가격으로 전일대비+4.23%의 등락률을 기록 금..."
