,title,contents
0,"렘데시비르 관련주,임상 결과소식에 파미셀등 주목","렘데시비르 관련주,임상 결과소식에 파미셀등 주목/사진=연합뉴스DB 에볼라 치료제인 렘데시비르가 코로나19 환자 치료 기간을 30% 이상 줄였다는 임상시험결과가 나왔다는 소식에 25일 렘데시비르 관련주가 다시 관심을..."
1,오를 대로 오른 마스크 관련주?…아직 늦지 않았다,코로나19 사태가 장기화하면서 마스크 관련주들이 단순 테마주가 아닌 실적주로 재평가를 받고 있다. 실제... 증권업계 전문가들은 당분간 마스크 관련주의 강세가 이어질 수 있다고 전망했다. 씨젠 등 코로나19...
2,"""코로나 사태로 덩치 커진 비대면 경제..온라인·5G 관련주 주목하라""(종합)","- 이데일리와 함께하는 [웰스투어 2020] - 5060까지 품으며 언택트 시장 커져 - 유망주 비중 높인 분산투자 권해 - ""법인 만들어 종부세 한도 줄이고 공정시가 6억 이하로 자산 나눠야"" [이데일리 김유성 전선형 김인경 기자]..."
3,"G2 갈등 고조에 中, 희토류 무기로 쓸까…관련주 급등","◇ 희토류 관련주 중국이 전국 인민 대표대회(전인대)에서 '홍콩 국가보안법'을 직접 제정하겠다고 밝힌... 이와 관련해 희토류 관련주가 강세였습니다. 희토류는 반도체의 핵심 원료인데, 중국이 세계 희토류 금속 생산의..."
4,"코스피 상승 마감, 비대면 산업 관련주 '카카오' 등 '급등'","코스피 상승 마감, 비대면 산업 관련주 '카카오' 등 '급등' 코스피 상승 마감, 비대면 산업 관련주 '카카오' 등 '급등' 25일 코스피가 전 거래일보다 24.47포인트(1.24%) 상승하며 1,990선으로 마감했다. 코스닥 지수는..."
5,[주간 증시 전망]인터넷·헬스케어 관련주 지속 관심을,헬스케어 관련 주는 지속 관심을 가져야 하며 그 밖에 지난 20일 정부의 한국판 뉴딜 정책에 디지털과 친환경을 포함하는 것으로 결론을 내림으로서 소프트웨어 및 친환경 관련 주들의 규제 완화 기대감이 높아질 것으로...
6,[글로벌-Biz 24] 코로나19 이겨낼 '집콕' 관련주는?,엔비디아는 91%의 점수로 '집콕' 관련주에서 가장 높은 평가를 받은 종목이다. 올리브 트리는 올해까지 그래픽 칩 제조사들이 더 높은 실적을 보일 것으로 예상했다. 1 분기 실적 호조로 지난해 같은기간보다 39 %의...
7,"[칼럼] 원격의료, 뉴딜, 신성장동력, 관련주 들썩....누구를 위한 정책일까","원격의료를 두고 설왕설래가 있었던 지난 일주일 사이, 심평원이 스마트워치 심전도를 건강보험 급여 범위에 포함했다는 소식이 들렸다. 그 이상한 '원격의료' 논란과는 직접 상관이 없다지만, 이상하고 이해하기 어려운..."
8,"코로나 관련주 순환매 속...파미셀 · 씨젠 · EDGC, '장중 강세'",25일 증시에서 코로나 관련주들이 빠른 순환매를 지속하는 가운데 파미셀 등 일부 치료제 종목들이... 다만 코로나 관련주들은 여전히 시장의 이슈와 수급에 따라 움직이면서 개별종목들의 주가 변동성도 커지는...
9,"쌍방울, 마스크 관련주 오공‧웰크론 이어 상승…쌍방울 상승 탄력 붙나",마스크 관련주인 오공과 웰트론에 이어 쌍방울이 상승세다. 쌍방울은 25일 코스피 시장에서 오전 10시50분 현재 전 거래일보다 0.1%(1원) 상승한 961원에 거래되고 있다. 쌍방울은 21일을 제외하고 19일부터 22일까지 3...
10,[서울와이어 25일 모닝브리핑]렘데시비르 임상 결과소식에 관련주 초미 관심,"렘데시비르 임상 결과소식에 관련주 초미 관심/사진=연합뉴스 @시선바이오머티리얼스,응급용 코로나19... @렘데시비르 관련주,임상 결과소식에 파미셀등 주목 에볼라 치료제인 렘데시비르가 코로나19 환자 치료..."
11,"진단키트 관련주,EDGC 씨젠 수젠텍 랩지노믹스 상승세","진단키트 관련주,EDGC 씨젠 수젠텍 랩지노믹스 장중 상승세 신종 코로나바이러스 감염증(코로나19)의 확산여파로 각국의 한국산 진단키트를 찾는 수요가 급증하면서 25일 관련주들이 상승세를 보이고 있다. 이날..."
12,한국판 '그린뉴딜'에 재생에너지·2차전지주 온도차,정부가 한국판 뉴딜 정책으로 '그린뉴딜' 친환경 사업을 추진하면서 관련 주들이 관심을 받기 시작한... 반대로 2차 전지와 수소전지 관련주는 에너지 저장 기술과 스마트 인프라 구축이 가시화하고 있어 온도차가...
13,"[칼럼] 원격의료, 뉴딜, 신성장동력, 관련주 들썩....누구를 위한 정책일까","원격의료를 두고 설왕설래가 있었던 지난 일주일 사이, 심평원이 스마트워치 심전도를 건강보험 급여 범위에 포함했다는 소식이 들렸다. 그 이상한 '원격의료' 논란과는 직접 상관이 없다지만, 이상하고 이해하기 어려운..."
14,"코로나 관련주 순환매 속...파미셀 · 씨젠 · EDGC, '장중 강세'",25일 증시에서 코로나 관련주들이 빠른 순환매를 지속하는 가운데 파미셀 등 일부 치료제 종목들이... 다만 코로나 관련주들은 여전히 시장의 이슈와 수급에 따라 움직이면서 개별종목들의 주가 변동성도 커지는...
15,"쌍방울, 마스크 관련주 오공‧웰크론 이어 상승…쌍방울 상승 탄력 붙나",마스크 관련주인 오공과 웰트론에 이어 쌍방울이 상승세다. 쌍방울은 25일 코스피 시장에서 오전 10시50분 현재 전 거래일보다 0.1%(1원) 상승한 961원에 거래되고 있다. 쌍방울은 21일을 제외하고 19일부터 22일까지 3...
16,네이버·카카오 언택트株 '쌩쌩'…LG화학·네패스 전기차株 '씽씽',"전자결제 관련주로는 NHN한국사이버결제 등 PG사를 비롯해 공인인증서 폐지 수혜 종목을 주목해야 한다는... 강 파트너는 “반도체 QLED, 모바일 관련주가 연일 관심을 받고 있다”며 “티에스이, 한미반도체, 테크윙, 심텍..."
17,"EDGC‧수젠텍, 코로나 관련주 모두 급등…수젠텍 6% 급등 이어 EDGC 9% 급등","코로나 관련주인 수젠텍, EDGC가 모두 급등 중이다. 수젠텍은 25일 코스닥 시장에서 오후 2시23분 현재 전 거래일 대비 6.33%(1950원) 상승한 3만2750원에 거래되고 있다. 수젠텍은 시간이 지날수록 가파른..."
18,[TF특징주] 빅히트-플레디스 '합병 소식'에 관련주 '상승',소식에 관련주가 상승세다. 18일 오전 10시 12분 현재 디피씨는 전장대비 4.27% 오른 1만250원에 거래 중이다.... 초록뱀은 방탄소년단을 주제로 한 드라마를 제작할 예정으로 알려져 방탄소년단 관련주로 꼽힌다....
19,공인인증서 폐지 전망에 전자인증 관련주 급등,국회 본회의에서 공인인증서 제도를 폐지하는 법안이 통과될 가능성이 높아지자 공인인증서를 대체할 전자서명 서비스를 제공하는 기업들의 주가가 급등하고 있다. 18일 오후 2시 10분 현재 한국정보인증...
20,공인인증서 폐지 전망에 전자인증 관련주 급등,국회 본회의에서 공인인증서 제도를 폐지하는 법안이 통과될 가능성이 높아지자 공인인증서를 대체할 전자서명 서비스를 제공하는 기업들의 주가가 급등하고 있다. 18일 오후 2시 10분 현재 한국정보인증...
21,"나파모스타트 관련주, 렘데시비르 관련주 가파른 상승 이어 상승…SK케미칼 이...","렘데시비르 관련주인 파미셀이 가파른 상승세인 가운데 나파모스타트 관련주로 불리는 SK케미칼, 뉴지랩, 제일약품이 상승세다. 국내 연구진이 코로나19 치료제 유력 후보로 주목받는 렘데시비르보다 600배..."
